#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Krakow Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Ga ,La,Nb,Ni,Pb,Rb,Sr,Th,Y,Zr,,,,,,
,1,Basalt,Cinder Spur,LeMasurier and Thomson,Table D.5.1,A.D. Saunders,XRF,,,Tephra weight %,50.51,0.79,18.35,1.85,6.16,0.18,5.2,10.63,3.45,0.71,0.18,98.01,Tephra ppm,214,20,35,25,9,1,26,8,11,449,2,32,100,,,,,,
,2,Basalt,Cinder Spur,LeMasurier and Thomson,Table D.5.1,A.D. Saunders,XRF,,,Tephra weight %,52.07,0.73,18.19,1.68,5.61,0.19,5.76,9.42,3.54,0.77,0.2,98.16,Tephra ppm,232,16,80,24,7,-99,48,8,13,439,4,21,118,,,,,,
,3,Basalt,Cinder Spur,LeMasurier and Thomson,Table D.5.1,J.L. Smellie,XRF,,,Tephra weight %,54.12,0.85,18.02,1.58,5.27,0.16,5.38,7.84,3.7,1.02,0.14,98.08,Tephra ppm,325,19,28,26,8,-99,16,6,11,640,3,15,113,,,,,,
,4,Basalt,Cinder Spur,LeMasurier and Thomson,Table D.5.1,A.D. Saunders,XRF,,,Tephra weight %,58.88,0.52,16.85,1.77,4.43,0.24,3.97,6.15,3.9,0.75,0.33,97.79,Tephra ppm,312,31,10,25,14,3,3,10,14,473,-99,27,165,,,,,,
,5,Basaltic andesite,Martins Head,LeMasurier and Thomson,Table D.5.1,J.L. Smellie,XRF,,,Tephra weight %,51.52,0.75,17.7,2,6.65,0.19,5.18,9.53,3.71,0.8,0.22,98.25,Tephra ppm,234,25,43,24,12,3,25,9,14,467,2,20,114,,,,,,
,6,Basaltic andesite,Martins Head,LeMasurier and Thomson,Table D.5.1,A.D. Saunders,XRF,,,Tephra weight %,52.02,0.91,18.51,1.82,6.06,0.18,5.62,9.45,3.82,0.82,0.19,99.4,Tephra ppm,232,21,33,23,11,-99,18,5,12,480,3,20,106,,,,,,
,7,Basaltic andesite,Martins Head,LeMasurier and Thomson,Table D.5.1,J.L. Smellie,XRF,,,Tephra weight %,57.18,0.59,18.24,1.71,4.28,0.17,4.2,7.06,4.36,0.94,0.26,98.99,Tephra ppm,408,31,20,25,13,1,9,7,16,535,-99,14,140,,,,,,
G.13.1,8,Basaltic andesite plug,Ternyck Needle,LeMasurier and Thomson,Table D.5.1,J.L. Smellie,XRF,,,Tephra weight %,55.4,0.7,18.7,2.15,5.39,0.13,4.9,8.92,3.82,1.44,0.14,101.69,Tephra ppm,258,27,60,26,12,3,19,-99,30,650,-99,14,114,,,,,,
