#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Toney Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr,CIPW Norms,Q,or,ab,an,ne,ac,ns,di,hy,ol,mt,il,ap,Phenocrysts %,Plag,Alk-fsp,Ca-Cpx,Na-Cpx,Amph,Oliv,Groundmass %,Plag,Analc,Ca-Cpx,Na-Cpx,Apat,Oliv,Opaq,Glass/matr,% Phenocrysts
80A,6,Plagioclase,G,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,54.96,0.16,27.53,0.04,-99,0.59,0,0.05,11.14,5.19,0.37,-99,-99,-99,-99,-99,100.01,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,7,Ilmenite,G,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,0.26,51.97,0.07,0.01,-99,44.01,0.77,2.47,0.06,0.06,0,-99,-99,-99,-99,-99,99.67,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,8,Magnetite,G,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,0.31,27.13,0.91,0.01,-99,67.88,0.82,1.56,0.08,0.05,0.04,-99,-99,-99,-99,-99,98.79,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,9,Augite,P Core,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,47.42,3.58,4.76,0.05,-99,9.87,0.2,11.66,22.26,0.6,0.01,-99,-99,-99,-99,-99,100.41,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,10,Augite,P Rim,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,48.53,2.54,3.68,0.05,-99,10.12,0.22,11.99,22.01,0.55,0,-99,-99,-99,-99,-99,99.68,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,11,Augite,G,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,46.18,4,5.41,0.02,-99,10.06,0.14,11.29,21.8,0.67,0.02,-99,-99,-99,-99,-99,99.58,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,Feldspar,P Core,LeMasurier and Thomson,Table B.3.4,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,64.25,0.24,22.01,-99,-99,-99,-99,-99,2.76,7.07,3.55,-99,-99,-99,-99,-99,99.88,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2,Feldspar,P Rim,LeMasurier and Thomson,Table B.3.4,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,66.25,-99,20.17,-99,-99,-99,-99,-99,1.2,7.21,5.12,-99,-99,-99,-99,-99,99.95,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,Feldspar,G,LeMasurier and Thomson,Table B.3.4,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,65.07,-99,21.25,-99,-99,-99,-99,-99,2.49,7.99,3.09,-99,-99,-99,-99,-99,99.89,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,Olivine,P Core,LeMasurier and Thomson,Table B.3.4,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,32.17,-99,-99,-99,-99,51.45,1.88,14.12,0.33,-99,-99,-99,-99,-99,-99,-99,99.95,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
