#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Hartigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
45B,1,Hawaiite,southern peak ,LeMasurier and Thomson,table B.8.1,,wet chemistry,H.B. Wiik,,tephra weight %,48.59,2.49,19.61,3.84,6.92,0.18,3.2,8.4,3.99,1.85,0.32,0.35,0.03,0.08,0,99.85,tephra ppm,381,98,25,40,56,28,51,61,8,10,46,475,8,2,216,39,88,319
44A,2,Mugearite,southern peak ,LeMasurier and Thomson,table B.8.1,,wet chemistry,H.B. Wiik,,tephra weight %,50.37,1.37,21.01,6.69,4.36,0.21,2.31,5.62,5.06,2.51,0.48,0.2,0.05,0.1,0,100.34,tephra ppm,673,153,18,15,19,26,63,78,0,13,51,437,10,5,108,50,137,455
48,3,Mugearite,southern peak ,LeMasurier and Thomson,table B.8.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,51.75,2.56,16.13,5.35,6.45,0.21,2.85,7.12,4.58,2.23,0.6,0.15,0.07,0,0,100.05,tephra ppm,2249,150,3,0,8,27,88,102,0,16,106,177,13,2,13,70,149,634
45C,4,Mugearite,southern peak ,LeMasurier and Thomson,table B.8.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,51.76,2.57,15.52,4.12,6.97,0.19,2.9,7.33,4.33,2.33,0.63,0,0,0.07,0,98.72,tephra ppm,541,149,-99,29,-99,-99,15,61,15,-99,60,421,7,-99,180,46,-99,304
46B,5,Hy-Mugearite,southern peak ,LeMasurier and Thomson,table B.8.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,53,2.3,15.9,3.8,7.4,0.11,3.2,7.1,4.7,2.2,0.5,0,0,0.11,0,100.43,tephra ppm,495,82,28,21,48,25,8,53,8,7,45,450,2,0,195,35,90,248
42A,6,Trachyte,northern peak,LeMasurier and Thomson,table B.8.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,61.98,0.53,15.51,5.02,2.45,0.23,0.62,2.51,5.87,4.73,0.08,0.34,0.18,0,0,99.72,tephra ppm,84,170,7,0,4,32,68,148,0,157,205,10,30,6,3,63,146,576
43A,7,Comendite,northern peak,LeMasurier and Thomson,table B.8.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,69,0.25,12.8,4.1,0.04,0.02,0.02,0.52,6.3,5.1,0,0.5,0,0.24,0.6,100.19,tephra ppm,31,301,0,0,0,37,104,195,0,38,216,8,35,7,5,81,202,1118
47,8,Rhyolite,northern peak,LeMasurier and Thomson,table B.8.1,,wet chemistry,H.B. Wiik,,tephra weight %,71.68,0.09,13.85,1.61,0.86,0.03,0.07,0.2,5,4.3,0.05,1.59,0.96,0.18,0,100.4,tephra ppm,0,105,16,0,3,38,51,213,3,34,333,3,39,12,0,127,159,830
