#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Total,,Element,Ba,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr
P23044,1,Basanite,"cliff adjacent to beach, Mount Bird",LeMasurier and Thomson,Table A.15.1,,,,,Tephra Weight %,42.6,3.7,14.1,5.7,7.8,0.3,6.15,11.7,4.3,0.95,0.4,1.68,-99,99.38,,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16170,2,Basanite,"summit, Mount Bird",LeMasurier and Thomson,Table A.15.1,,,,,Tephra Weight %,44.1,2.7,14.6,3.57,8.77,0.22,8.71,9.07,4.45,1.96,0.71,0.19,0.03,99.08,,Tephra ppm,560,360,63,170,33,950,190,24,104,490
,3,Ne-benmoreite,unspecified,LeMasurier and Thomson,Table A.15.1,,,,,Tephra Weight %,52.54,1.44,19.41,2.9,5.31,0.23,1.91,4.6,7.5,3.49,0.26,0.24,0.2,100.03,,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16070,4,Phonolite,"southeast of summit, Mount Bird",LeMasurier and Thomson,Table A.15.1,,,,,Tephra Weight %,55,0.7,19.6,3.79,2.04,0.12,1.17,3.65,7.76,4.46,0.23,0.81,0.06,99.39,,Tephra ppm,750,10,30,12,112,640,43,37,124,960
