#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk heard and McDonald Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,element,Ba,Ce,Cr,Cu,Rb,Dy,Er,Eu,Gd,La,Lu,Nb,Nd,Ni,Pb,Sm,Sr,Th,U,V,Y,Yb,Zn,Zr
H9,1,Basanite,"Big Ben, Heard Island",LeMasurier and Thomson,Table F.6.1,,XRF,,,Tephra weight %,43.6,3.84,7.72,2.09,9.28,0.16,15.2,13.1,1.44,1.48,0.69,1.68,0.35,100.63,Tephra ppm,500,-99,916,47,36,-99,-99,-99,-99,-99,-99,47,-99,397,4,-99,779,8,0,280,20,-99,112,196
65085,2,Basalt,"Big Ben, Heard Island",LeMasurier and Thomson,Table F.6.1,,XRF,,,Tephra weight %,45.49,3.15,8.9,2.05,10.24,0.13,15.93,9.41,2.51,1.68,0.52,-99,-99,100.01,Tephra ppm,482,74.23,696,80,40,4.68,1.93,2.44,6.59,34.69,0.2,38,36.42,533,3,7.64,589,5,0,266,20,1.3,110,246
H66,3,Trachybasalt,"NE coast, Heard Island",LeMasurier and Thomson,Table F.6.1,,XRF,,,Tephra weight %,48.8,3.63,11.5,1.31,9.98,0.15,10.9,8.7,2.64,2.07,0.55,0.33,0.09,100.65,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
65005,4,trachyandesite,"Cave Bay, Heard Island",LeMasurier and Thomson,Table F.6.1,,XRF,,,Tephra weight %,50.94,3.22,15.99,1.68,8.42,0.14,4.01,7.31,3.79,3.56,0.92,-99,-99,99.98,Tephra ppm,720,-99,16,30,72,-99,-99,-99,-99,-99,-99,107,-99,11,11,-99,1146,11,1,214,42,-99,149,791
65125,5,Phonolite,McDonald Island,LeMasurier and Thomson,Table F.6.1,,XRF,,,Tephra weight %,57.33,0.92,19.73,0.91,3.03,0.1,1.26,2.15,8.36,5.99,0.24,-99,-99,100.02,Tephra ppm,204,100.9,16,13,156,3.14,1.6,1.62,3.35,58.62,0.264,120,32.41,13,32,5.33,771,30,4,46,16,1.65,87,1228
65042,6,Trachyte,"Mount Olsen, Heard Island",LeMasurier and Thomson,Table F.6.1,,XRF,,,Tephra weight %,59.15,0.74,19.1,1.06,3.54,0.09,0.56,2.45,6.78,6.35,0.21,-99,-99,100.03,Tephra ppm,696,-99,3,5,159,-99,-99,-99,-99,-99,-99,127,-99,2,16,-99,790,22,3,10,31,-99,99,1130
