#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Hobbs Coast Volcanoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
S18D,1,Basanite,"Mathewson Point, Shepard Island",LeMasurier and Thomson,Table B.16D.1,,XRF,"U. of Otago, New Zealand",,Tephra weight %,47.06,2.84,14.93,4.23,10.71,0.32,3.73,7.77,4.74,1.69,1.88,0,0,0,0,99.89,Tephra ppm,645,157,41,11,33,22,58,54,7,0,23,794,2,2,208,44,152,246
SI10D,2,Hawaiite,"Mount Petinos, Shepard Island",LeMasurier and Thomson,Table B.16D.1,,XRF,"U. Nottingham, England",,Tephra weight %,48.86,3.33,14.14,3.23,9.72,0.18,4.42,8.38,4.19,1.61,0.79,0,0,0.08,0,98.83,Tephra ppm,706,104,-99,25,-99,-99,44,42,17,-99,32,723,5,1,203,37,-99,248
SI9D,3,Trachyte,"Worly Point, Shepard Island",LeMasurier and Thomson,Table B.16D.1,,XRF,"U. Nottingham, England",,Tephra weight %,62.31,0.49,15.32,1.87,4.53,0.17,0.34,1.8,6.38,5.42,0.42,0,0.345,0.04,0,99.43,Tephra ppm,192,180,-99,5,-99,-99,668,78,8,-99,93,65,2,2,7,1,-99,513
GI11C,4,Benmoreite,"Mount Obiglio, Grant Island",LeMasurier and Thomson,Table B.16D.1,,XRF,"U. of Otago, New Zealand",,Tephra weight %,55.11,0.72,15.04,5,7.19,0.4,0.69,4.09,4.92,3.45,0.25,0,1.99,0,0,98.85,Tephra ppm,3922,202,0,0,11,28,102,118,0,8,45,477,5,5,25,72,194,641
CI51C,5,Basalt,Cruzen Island,LeMasurier and Thomson,Table B.16D.1,,XRF,"U. Nottingham, England",,Tephra weight %,48.3,2.15,13.88,2.43,9.29,0.15,8.54,8.92,3.59,0.69,0.35,0,0,0.03,0,98.37,Tephra ppm,229,43,45,293,63,21,23,29,45,3,11,500,2,0,208,21,108,120
