#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,F,LOI,Total,,Element,Ba,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr
,1,Basanite younger sequence,Cape Crozier,LeMasurier and Thomson,Table a.16.1,,,,,Tephra Weight %,43.47,3.28,12.85,3.18,9.67,0.19,11.78,10.6,2.93,1.09,0.58,0.07,0.09,0.02,-99,99.8,,Tephra ppm,280,760,57,210,26,840,280,31,112,290
,2,Basanite older sequence,Cape Crozier,LeMasurier and Thomson,Table a.16.1,,,,,Tephra Weight %,44,2.83,14.2,3.12,7.38,0.19,10.8,10.5,4.38,1.77,0.65,0.3,0.02,-99,-99,100.14,,Tephra ppm,510,430,44,170,56,950,210,31,78,330
,3,Phonotephrite,western base of Kyle Cone,LeMasurier and Thomson,Table a.16.1,,,,,Tephra Weight %,46.38,3.18,17.09,6.67,4.63,0.23,4.38,8.97,4.65,2.36,1.05,-99,-99,-99,-99,99.59,,Tephra ppm,530,56,26,26,51,1426,206,-99,110,385
,4,Pyroxene phonolite,"top of crater rim, north side of The Knoll",LeMasurier and Thomson,Table a.16.1,,,,,Tephra Weight %,57.4,0.29,19.92,3.6,1.3,0.2,0.17,1.57,8.5,5.83,0.05,-99,-99,-99,0.63,99.46,,Tephra ppm,593,5,7,5,142,143,5,-99,104,781
,5,Kaersutite phonolite,southeast of Post Office Hill,LeMasurier and Thomson,Table a.16.1,,,,,Tephra Weight %,58.27,0.42,19.38,3.67,1.78,0.22,0.41,1.95,8.1,5.15,0.12,-99,-99,-99,0.46,99.93,,Tephra ppm,928,5,7,5,134,481,5,-99,105,789
