#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,
#Bulk Possession Island,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total
AW82214,1,Basanite,Possession Island,LeMasurier and Thomson,Table A.5.1,A.C. Wright,XRF,P.R. Kyle,"upeermost flow, south end of island",Tephra Weight %,41.11,3.43,12.9,13.42,0.22,9.66,12.44,4.24,1.5,1.16,0,100.08
AW82205,2,Basalt ,Foyn Island,LeMasurier and Thomson,Table A.5.1,A.C. Wright,XRF,P.R. Kyle,intrusive megapillow,Tephra Weight %,44.86,2.91,14.51,12.5,0.19,9.09,10.54,3.45,1.04,0.6,0,99.69
AW82207,3,Basanite,Foyn Island,LeMasurier and Thomson,Table A.5.1,A.C. Wright,XRF,P.R. Kyle,flow,Tephra Weight %,45.12,3.01,15.39,12.4,0.2,7.89,10.34,3.92,1.36,0.68,0,100.31
AW82224,4,Basanite,Possession Island,LeMasurier and Thomson,Table A.5.1,A.C. Wright,XRF,P.R. Kyle,volcanic bomb in breccia,Tephra Weight %,46.77,2.73,17.49,11.75,0.23,4.26,8.53,5.32,1.74,1.19,0,100.01
AW82215,5,Basanite,Possession Island,LeMasurier and Thomson,Table A.5.1,A.C. Wright,XRF,P.R. Kyle,glassy bomb in breccia,Tephra Weight %,47.38,2.71,17.38,11.72,0.22,4.32,8.48,5.23,1.8,1.1,0,100.34
AW82219,6,Basanite,Possession Island,LeMasurier and Thomson,Table A.5.1,A.C. Wright,XRF,P.R. Kyle,margin of megapillow,Tephra Weight %,47.47,2.48,17.64,11.28,0.23,3.63,8.03,5.49,1.87,1.21,0.41,99.74
