#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Bursey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
BU28A,1,Basanite,Hutt Peak summit,LeMasurier and Thomson,Table B.13.1,,XRF,"U. Nottingham, England",,Tephra weight %,45.51,4.43,14.9,2.24,10.36,0.18,5.03,8.4,4.66,1.39,1.57,0,0,0.08,98.75,tephra ppm,654,144,35,25,36,20,55,60,23,5,25,1644,3,0,271,31,129,220
BU28B,2,Phonolitic trachyte,Hutt Peak summit,LeMasurier and Thomson,Table B.13.1,,XRF,"U. Nottingham, England",,Tephra weight %,60.56,0.58,16.32,3.47,3.48,0.18,0.42,1.63,8.06,4.59,0.12,0,0.25,0.07,99.74,tephra ppm,319,196,9,6,4,35,98,170,7,12,110,153,23,6,19,71,158,909
BU27B,3,Q-trachyte,Heaps Rock,LeMasurier and Thomson,Table B.13.1,,XRF,"U. Nottingham, England",,Tephra weight %,62.17,0.66,11.87,7.32,3.58,0.29,0.17,1.16,6.92,4.6,0.07,0,0.89,0.11,99.81,tephra ppm,54,526,3,13,8,47,248,333,11,25,163,17,34,3,13,172,404,1925
BU29B,4,Trachyte,Northwest flank of Mount Bursey,LeMasurier and Thomson,Table B.13.1,,XRF,"U. Nottingham, England",,Tephra weight %,58.91,0.67,16.08,4.62,4.1,0.25,0.42,2.72,6.11,4.47,0.25,0,0.58,0.04,99.2,tephra ppm,1870,204,-99,0,-99,0,83,104,7,-99,70,244,13,2,12,57,-99,622
BU26A,5,Phonolite,koerner Bluff,LeMasurier and Thomson,Table B.13.1,,XRF,"U. Nottingham, England",,Tephra weight %,60.64,0.1,17.89,4.31,0.84,0.2,0,0.88,8.86,5.1,0.01,0.59,0.59,0,99.42,tephra ppm,38,318,3,9,5,39,178,231,8,18,146,12,30,9,0,91,231,1751
67A7,6,Trachyte,Starbuck Crater,LeMasurier and Thomson,Table B.13.1,,XRF,"U. Nottingham, England",,Tephra weight %,61.4,0.44,14.9,6.8,1.8,0.06,0.14,2.2,6.6,5.5,0.04,0,0,0.13,100.22,tephra ppm,469,207,9,5,6,32,101,127,0,21,94,23,7,4,14,79,185,766
BU25B,7,Q-trachyte,Starbuck Crater,LeMasurier and Thomson,Table B.13.1,,XRF,"U. Nottingham, England",,Tephra weight %,63.1,0.76,10.23,6,5.63,0.34,0.1,1,7.26,4.35,0.07,0.17,0.17,0.14,99.14,tephra ppm,112,601,0,6,8,42,268,394,8,35,206,26,44,13,15,191,452,2178
