#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Walgreen Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt%,Wt% ,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
60A,1,Gabbro,Dorrel Rock,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,43.03,6.05,17.57,6.07,7.84,0.16,0.16,10.8,3.37,0.72,0.11,0.37,0.08,0.02,0.65,100.66,tephra ppm,125,6,22,21,27,23,8,5,8,3,9,934,5,0,387,8,44,108
60C,2,Mugearite dike,Dorrel Rock,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,53.28,1.21,18.07,3.51,6.37,0.19,0.19,4.9,5.83,3.36,0.33,1.39,0.16,0,0,100.53,tephra ppm,246,229,0,0,3,38,108,172,0,11,88,44,9,6,23,90,211,861
60D,3,Syenite dike,Dorrel Rock,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,61.52,0.28,18.45,2.7,2.77,0.12,0.12,1.5,6.45,5.35,0.04,0.46,0.01,0,0,99.84,tephra ppm,346,197,4,0,0,26,76,126,0,10,114,68,8,2,12,41,72,430
41F,4,Basalt,Turtle Peak,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,46.03,3.15,15.63,2.35,10.3,0.23,0.23,10.22,3.61,0.92,0.78,0,0.16,0.05,0,99.69,tephra ppm,328,69,41,65,59,21,42,34,41,6,15,799,2,0,284,27,94,149
41D,5,Basalt,Turtle Peak,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,46.47,3.15,15.66,2.41,10.15,0.22,0.22,10.27,3.53,0.91,0.81,0,0,0.04,0,99.62,tephra ppm,294,77,39,61,58,20,26,35,39,11,16,813,5,2,289,25,92,161
43C,6,Basanite,Hedin Nunatak,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,44.91,2.95,14.84,4.11,8.23,0.19,0.19,11.11,3.34,0.95,0.76,0,0,0.06,0,99.71,tephra ppm,275,68,41,174,9,20,34,40,83,6,20,741,7,0,306,28,79,185
43D,7,Basanite,Hedin Nunatak,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,44.92,2.45,13.4,2.83,8.93,0.18,0.18,10.74,2.81,0.77,0.45,0,0.88,0.02,0,99.9,tephra ppm,236,58,65,636,80,18,29,36,245,4,17,624,2,2,265,22,90,161
84,8,Basalt,Kohler Range,LeMasurier and Thomson,Table B.16A.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,45.03,2,16,3.82,9.55,0.19,0.19,9.33,3.26,0.76,0.04,1.5,0.15,0,0.1,100.38,tephra ppm,372,67,48,271,79,18,38,47,151,0,13,627,1,1,220,31,86,147
