#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Minna Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,Element,As,Ba,Ba*,Ce*,Cr,Cr*,Cs,Cu,Eu*,Ga,Hf*,La*,Lu*,Nb,Nd*,Ni,Pb,Rb,Rb*,Sb,Sc,Sm,Sr,Ta*,Tb*,Th,Th*,U*,V,Y,Yb*,Zn,Zr
AW84797,1,Tephrite,lava tongue in palagonitized sediment,LeMasurier and Thomson,Table A.20.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,43.13,3.24,15.27,12.13,0.2,7.54,10.44,3.73,1.75,0.97,1.57,99.97,,Tephra ppm,2,632,571,124.5,213,217,0.54,46,3.17,20,6.77,60.7,0.41,99,53.2,95,5,42,42,0.1,23,10.5,1088,5.68,2.68,4,3.8,2,243,34,1.25,84,296
AW82163,2,Tephrite,flow capping Minna Bluff,LeMasurier and Thomson,Table A.20.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,44.84,3.31,15.89,11.88,0.19,6.85,10.7,3.98,1.67,0.84,-0.11,100.26,,Tephra ppm,3.3,526,511,132,205,190,0.64,47,3.06,22,7.42,65.5,0.38,91,59.4,84,5,45,49,0.1,22.9,10.1,903,5.62,2.4,7,6.8,1.8,286,33,1.21,98,323
AW82156,3,Tephriphonolite,"dome, Minna Bluff",LeMasurier and Thomson,Table A.20.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,52.77,1.27,19.09,7.89,0.21,2.02,4.07,7.41,4.19,0.37,0.18,100.1,,Tephra ppm,2.8,559,553,141,20,16,1.2,15,2,24,10.4,47.1,0.49,120,46.8,13,10,118,110,0.2,6.1,30.3,499,8.48,3.04,14,14.6,4.8,79,32,0.94,95,538
AW82165,4,Phonolite,"Flow, Minna Bluff",LeMasurier and Thomson,Table A.20.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,57.52,0.13,20.36,4.96,0.22,0.22,1.49,8.98,5.51,0.06,0.59,100.04,,Tephra ppm,11,254,287,192,10,0.8,1.5,15,1.25,27,15.5,120,0.71,180,56.6,5,14,171,166,0.4,0.2,7.96,95,12.7,4.36,27,24,6.4,3,43,1.02,131,844
AW84791,5,Trachyte,"dome, Minna Bluff",LeMasurier and Thomson,Table A.20.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,57.83,0.46,18.6,5.86,0.2,0.44,2.02,7.26,4.85,0.17,1.57,99.26,,Tephra ppm,1.3,1141,1160,160,10,0.3,1,35,1.83,21,13.8,92.4,0.48,148,45.8,5,11,130,126,0.2,0.5,6.3,445,9.9,2.74,19,18.3,2.86,3,25,0.74,79,731
