#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Fosdick Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Cr,La,Nb,Ni,Rb,Sr,Th,U,V,Y,Zr
66D-27,1,Basalt,Mount Perkins,LeMasurier and Thomson,Table B.16E.1,,XRF,"U. Nottingham, England","FeO determined by wet chemistry, F by SIE",Tephra weight %,47.55,2.32,13.28,3.11,7.83,0.16,7.77,10.23,3.41,0.74,0.37,0,1.83,0.02,0,98.62,Tephra ppm,266,28,233,21,26,140,11,515,5,4,202,27,144
66D-28,2,Basalt,Mount Perkins,LeMasurier and Thomson,Table B.16E.1,,XRF,"U. Nottingham, England",,Tephra weight %,47.8,2.15,13.32,1.94,8.13,0.17,8.43,9.83,3.26,0.78,0.35,0,1.46,0.02,0,97.64,Tephra ppm,294,32,262,22,23,162,13,482,9,0,184,8,131
66D-30,3,Basalt,Mount Perkins,LeMasurier and Thomson,Table B.16E.1,,XRF,"U. Nottingham, England",,Tephra weight %,47.99,2.27,13.61,3.33,7.68,0.16,7.56,9.91,3.22,0.74,0.35,0,1.34,0.02,0,98.18,Tephra ppm,278,43,248,23,25,145,11,498,0,0,193,29,140
66D-91,4,Basalt,locality F5,LeMasurier and Thomson,Table B.16E.1,,XRF,"U. Nottingham, England",,Tephra weight %,49.27,1.92,13.82,1.02,9.52,0.15,9.03,9.12,3.19,0.52,0.26,0,0.5,0.02,0,98.34,Tephra ppm,211,25,355,16,12,156,11,425,0,2,166,24,110
