#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Local Suite Basaltic Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,Element,Ba,Cr,Cu,Ga,Nb,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
25708,1,Basanite scoria cone,"Web Neve, Northern Victoria Land",LeMasurier and Thomson,Table A.11.1,,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,41.37,3.55,14.18,3.02,9.1,0.19,8.52,10.8,3.55,1.91,0.67,-99,97.06,,Tephra ppm,397,204,59,-99,-99,124,-99,44,772,-99,276,-99,97,-99
82132,2,Basanite scoria cone,"Mount McCarthy, Northern Victoria Land",LeMasurier and Thomson,Table A.11.1,,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,44.76,3.09,15.28,13.21,0,0.2,8.37,9.7,3.79,1.66,0.79,-0.78,100.07,,Tephra ppm,-99,-99,52,20,82,144,5,42,831,6,-99,31,102,238
81513A,3,Basanite scoria cone,Cosmonaut Glacier,LeMasurier and Thomson,Table A.11.1,,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,45.85,3.39,16.78,13.65,0,0.2,5.45,8.41,4.25,1.34,0.61,0.8,100.73,,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
81514,4,Basanite scoria cone,Cosmonaut Glacier,LeMasurier and Thomson,Table A.11.1,,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,47.21,2.24,15.95,12.23,0,0.19,8.01,9.55,3.65,1.31,0.52,0.11,100.96,,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
