#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Mount Early,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total
ANT34,1,Mildy alkaline olivine basalt,mount Early,LeMasurier and Thomson,Table A.27.1,,,,total Fe expressed as Fe2O3,tephra weight %,50.36,2.25,16.68,10.44,0.14,5.56,8.2,4.4,2.03,0.74,1.53,100.8
