#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Sheridan Bluff,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total
ANT24,1,Mildy alkaline olivine basalt,Sheridan Bluff,LeMasurier and Thomson,Table A.26.1,,,,Total Fe expressed as Fe2O3,tephra weight %,49.53,2.05,16.5,10.44,0.15,6.91,9.32,3.92,1.47,0.61,1.53,100.9
ANT27,2,Olivine tholeiite,Sheridan Bluff,LeMasurier and Thomson,Table A.26.1,,,,Total Fe expressed as Fe2O3,tephra weight %,50.31,1.53,15.44,11.98,0.16,6.73,8.72,3.93,0.81,0.22,0.64,99.83
