#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Antipodes Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,element,Ba,Ce,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sc,Sr,Th,V,Y,Zn,Zr
81/7,1,Basanite lava flow,North Antipodes Island,LeMasurier and Thomson,Table G.1.1,,XRF,,,Tephra weight %,41.89,4.15,11.32,2.69,13.46,0.19,9.48,11.45,2.32,0.75,0.52,99.22,Tephra ppm,209,70,301,58,21,25,45,138,4,17,29,517,4,366,29,126,228
81/15,2,Basanite lava flow,West of South Bay,LeMasurier and Thomson,Table G.1.1,,XRF,,,Tephra weight %,42.11,3.92,12.97,2.38,11.91,0.2,7.95,10.94,4.85,1.57,1.19,100,Tephra ppm,494,156,124,64,21,83,100,117,5,45,19,1181,11,244,38,178,393
81/10,3,ankaramite lava flow,East side of Anchorage Bay,LeMasurier and Thomson,Table G.1.1,,XRF,,,Tephra weight %,42.39,2.95,8.47,2.46,12.3,0.17,15.35,12.41,1.49,0.25,0.31,99.75,Tephra ppm,110,39,659,51,12,16,23,283,1,4,36,335,3,319,21,115,136
81/11,4,Hawaiite- Benmoreite lava flow,East side of Anchorage Bay,LeMasurier and Thomson,Table G.1.1,,XRF,,,Tephra weight %,47.51,2.28,16.59,1.86,9.3,0.2,3.23,7.43,6.62,2.22,1.19,99.53,Tephra ppm,617,205,11,37,26,112,135,19,7,63,10,1413,16,89,41,201,571
