#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Daniell  Peninsula,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total
277,1,Alkali basalt,Daniell Peninsula,LeMasurier and Thomson,Table A.3.1,,,,"massive lava, east side of peninsula",tephra weight %,44.7,3.67,16.17,8.1,5.22,0.19,4.92,8.98,3.93,0.75,0.62,1.17,0.68,99.1
AW82238,2,Basanite,Daniell Peninsula,LeMasurier and Thomson,Table A.3.1,A.C. Wright,XRF,P.R. Kyle,north end of peninsula,tephra weight %,47.5,2.77,16.75,11.86,-99,0.23,3.87,7.6,4.85,1.96,1.18,0.76,-99,99.33
AW82246,3,Mugearite,cape Phillips,LeMasurier and Thomson,Table A.3.1,A.C. Wright,XRF,P.R. Kyle,lava flow breccia,Tephra weight %,51.3,2.49,14.57,12.84,-99,0.22,3.1,6.21,4.18,2.05,0.86,1.71,-99,99.52
