#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Mount Siple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,,,,,,,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,F,Total,or,ab,an,ne,di,hy,ol,mt,il,ap,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
W83-1,1,Basalt,"locality B, Lovill Bluff",LeMasurier andThomson,Table B.5.1,,XRF,"U. Nottingham, England",FeO determined by wet chemistry and F by SIE,Tephra Weight %,45.46,3.21,15.15,1.28,11.67,0.19,6.34,8.42,3.54,1.42,0.71,0.09,97.38,8.39,23.11,21.26,3.71,13.13,0,18.22,1.78,6.1,1.64,338,100,54,102,45,22,40,53,80,2,31,575,0,0,163,36,112,257
W84-119,2,Basalt,"locality A, Lovill Bluff",LeMasurier andThomson,Table B.5.1,,XRF,"U. Nottingham, England",FeO determined by wet chemistry and F by SIE,Tephra Weight %,47.03,2.8,15.11,2.33,10.12,0.19,6.18,9.64,3.59,1.06,0.53,0.07,98.58,6.26,25.83,21.99,2.46,18.38,0,13.73,3.38,5.32,1.23,256,71,47,155,42,20,25,41,58,6,20,593,1,0,216,31,105,192
W83-6A-2,3,Basalt,"locality A, beach cobble",LeMasurier andThomson,Table B.5.1,,XRF,"U. Nottingham, England",FeO determined by wet chemistry and F by SIE,Tephra Weight %,47.11,2.75,15.9,2.03,9.89,0.18,5.32,9.61,3.48,1.3,0.69,0.07,98.27,7.68,26.31,23.93,1.7,15.88,0,13,2.94,5.22,1.6,286,94,38,76,42,25,32,46,35,6,22,697,1,3,180,34,106,218
W82-5,4,Basalt,locality C,LeMasurier andThomson,Table B.5.1,,XRF,"U. Nottingham, England",FeO determined by wet chemistry and F by SIE,Tephra Weight %,48.98,1.77,14.74,1.54,9.43,0.18,7,9.03,3.51,1.13,0.91,0.06,98.22,6.68,29.7,21.13,0,14.54,4.06,14.41,2.23,3.36,2.11,322,100,41,277,43,21,26,42,113,3,25,535,7,0,132,28,108,202
