#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Petras and Usas Escarpment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
13B,1,Basanite,Mount Petras,LeMasurier and Thomson,Table B.16B.1,,Wet chemistry,H.B. Wiik,,Tephraweight %,45.36,2.35,18.39,2.5,9,0.17,6.14,8.14,3.95,1.7,0.06,1.91,0.37,0,0,100.04,Tephra ppm,494,147,34,198,45,21,64,89,87,7,36,742,8,0,235,35,102,370
PT67D,2,Hawaiite,Mount Petras,LeMasurier and Thomson,Table B.16B.1,,XRF,"U. of Otago, New Zealand",,Tephraweight %,48.16,2.56,15.86,2.35,9.18,0.21,6.08,8.2,4.59,1.72,0.79,0,0,0,0,99.71,Tephra ppm,492,160,34,163,47,19,67,95,78,5,42,752,9,2,223,36,105,383
56B,3,Basalt,Usas Escarpment,LeMasurier and Thomson,Table B.16B.1,,Wet chemistry,H.B. Wiik,,Tephraweight %,45.31,2.69,15.34,4.49,8.53,0.16,7.76,7.9,3.45,1.26,0.67,2.52,0,0.06,0.2,100.34,Tephra ppm,313,84,47,268,41,17,8,53,174,6,24,757,4,0,231,30,93,254
58B,4,Hawaiite,Usas Escarpment,LeMasurier and Thomson,Table B.16B.1,,Wet chemistry,H.B. Wiik,,Tephraweight %,47.63,2,17.98,4.98,8.17,0.19,3.04,6.7,4.62,1.61,0.44,2.07,0.34,0.03,0.3,100.1,Tephra ppm,421,120,27,6,25,24,105,78,0,4,17,669,10,3,107,44,103,349
