#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Ames Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
67B4,1,Mugearite,"southwest tip, Mount Andrus",LeMasurier and Thomsom,Table B.12.1,,XRF,"U. Nottingham, England",,tephra weight %,51,2,15.1,8,5.5,0.18,3.2,5.3,5.5,2.3,1.4,0,0,0.15,0,99.63,tephra ppm,641,207,18,0,16,22,91,96,0,4,34,1133,2,3,87,50,124,452
67B6,2,Pantelleritic trachyte,Mount Andrus,LeMasurier and Thomsom,Table B.12.1,,XRF,"U. Nottingham, England",,tephra weight %,62.5,0.65,14.2,6.6,1.6,0,0.25,1.4,7,5.4,0.04,0.5,0,0.52,0,100.72,tephra ppm,63,145,4,0,10,31,84,98,0,12,86,20,10,3,17,45,106,1517
3B,3,Pantelleritic trachyte,"south side, Mount Andrus",LeMasurier and Thomsom,Table B.12.1,,XRF,"U. Nottingham, England",,tephra weight %,62.74,0.56,14.32,2.89,5.48,0.24,0.14,1.19,7.6,4.51,0.07,0.58,0,0.14,0,100.46,tephra ppm,20,345,0,6,3,47,132,223,4,18,152,3,26,7,13,125,295,334
AR41C,4,Pantelleritic glass,"north side, Mount Andrus",LeMasurier and Thomsom,Table B.12.1,,XRF,"U. Nottingham, England",,tephra weight %,64.72,0.68,8.62,3.18,7.87,0.34,0,0.59,8.21,4.35,0.05,0,0,0.09,0,98.7,tephra ppm,73,660,-99,6,-99,-99,225,305,24,-99,219,10,35,7,8,211,-99,1853
AR44D2,5,Pantellerite,Mount Andrus,LeMasurier and Thomsom,Table B.12.1,,XRF,"U. Nottingham, England",,tephra weight %,68.61,0.5,9.33,2.79,5.79,0.21,0,0.42,7.2,4.31,0.01,0,0,0.18,0,99.35,tephra ppm,48,412,0,4,1,38,192,251,7,32,226,3,34,10,12,147,348,408
AR40B,6,Phonolitic trachyte,Mount Kosciusko,LeMasurier and Thomsom,Table B.12.1,,XRF,"U. Nottingham, England",,tephra weight %,59.78,0.3,16.78,6.19,0.72,0.21,0.34,1.91,7.14,4.88,0.1,0,0.77,0.06,0,99.18,tephra ppm,1181,240,-99,0,-99,-99,98,128,9,-99,93,157,15,2,7,71,-99,864
67B8,7,Phonolite,Mount Kauffman,LeMasurier and Thomsom,Table B.12.1,,XRF,"U. Nottingham, England",,tephra weight %,61,0.27,16.6,4.6,1.6,0.04,0.18,1.4,8.3,5.7,0.02,0.5,0,0.07,0,100.28,tephra ppm,153,209,0,0,6,31,110,167,0,9,100,12,16,3,7,64,131,921
