#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Candlemas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Co,Cr,Cu,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
SSC.35.1,1,Basalt,southern Candlemas Island,LeMasurier and Thomson,Table E.6.1,,XRF,"U. Nottingham, England",Total Fe expressed as Fe2O3,Tephra weight %,50.37,0.69,18.65,10.46,0.18,5.78,11.55,1.82,0.05,0.02,99.67,Tephra ppm,66,<5,33,54,114,-99,<1,20,2,2,116,1,<1,293,13,74,37
SSC.36.1,2,Basaltic andesite,southern Candlemas Island,LeMasurier and Thomson,Table E.6.1,,XRF,"U. Nottingham, England",Total Fe expressed as Fe2O3,Tephra weight %,56.86,0.83,16.75,9.89,0.19,3.34,9.02,3.09,0.26,0.07,100.3,Tephra ppm,104,<5,21,35,114,6,2,9,7,4,116,1,<1,216,23,67,59
SSC.29.1,3,Aphyric dacite lava flow,northern Candlemas Island,LeMasurier and Thomson,Table E.6.1,,XRF,"U. Nottingham, England",Total Fe expressed as Fe2O3,Tephra weight %,65.17,0.9,13.67,8.87,0.18,1.5,5.58,3.88,0.45,0.11,100.31,Tephra ppm,170,<5,16,14,70,8,1,2,6,8,104,4,<1,92,37,81,94
