#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Argo Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Eu,Hf,La,Lu,Nb,Nd,Ni,Rb,Sm,Sr,Ta,Tb,Th,Y,Yb,Zr
R.217.1,1,alkalai basalt,Argo Point,LeMasurier and Thomson,Table D.14.1,,XRF,,total Fe expressed as Fe2O3,Tephra weight %,49.25,1.66,14.78,12.32,0.16,8.75,8.34,3.83,0.74,0.27,100.1,Tephra ppm,108,37,238,-99,-99,19,-99,27,17,197,8,-99,397,-99,-99,-99,17,-99,117
R.217.4,2,variolitic basalt,Argo Point,LeMasurier and Thomson,Table D.14.1,,XRF,,total Fe expressed as Fe2O3,Tephra weight %,50.18,1.72,14.35,12.2,0.16,8.2,8.65,3.5,0.61,0.23,99.8,Tephra ppm,106,32,245,-99,-99,15,-99,21,15,136,8,-99,357,-99,-99,-99,18,-99,91
R.217.9,3,olivine basalt,Argo Point,LeMasurier and Thomson,Table D.14.1,,XRF,,total Fe expressed as Fe2O3,Tephra weight %,50.89,1.69,14.68,11.54,0.15,7.55,8.45,4.25,0.79,0.31,100.3,Tephra ppm,133,37,233,-99,-99,19,-99,30,18,133,9,-99,438,-99,-99,-99,17,-99,119
R.217.2,4,alkalai basalt,Argo Point,LeMasurier and Thomson,Table D.14.1,,XRF,,total Fe expressed as Fe2O3,Tephra weight %,50.95,1.83,14.92,11.54,0.15,6.75,9.13,4.24,0.83,0.3,100.37,Tephra ppm,130,36.6,214,1.73,3.04,19.2,0.22,33,21,75,8,4.8,448,2.16,0.77,2.9,21,1.55,126
