#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Hornpipe Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Eu,Hf,La,Lu,Nb,Nd,Ni,Rb,Sm,Sr,Ta,Tb,Th,Y,Yb,Zr
KG.3612.5,1,Basanite,hornpipe Heights,LeMasurier and Thomson,Table C.3.1,,XRF,,,Tephra weight % ,45.07,3.26,14.49,1.37,9.19,0.15,10.36,9.3,3.89,2.44,0.75,99.87,Tephra ppm,298,72.35,223,2.36,5.47,40.01,0.25,68,35.82,195,25,5.64,838,4.62,0.97,4.3,25,1.74,238
