#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Jones Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,,,,,,,,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O+,H2O-,CO2,Total,,,,,,,,,,,,,,,,,,,,
61-126,1,Tephrite,Jones Mountains,LeMasurier and Thomson,Table C.8.1,,Wet chemistry,,,Tephra weight %,41.84,1.85,12.93,1.79,13.19,0.22,12.02,10.04,2.13,0.78,1.86,0.45,0.44,99.54,,,,,,,,,,,,,,,,,,,,
61-1-4,2,Tephrite,Jones Mountains,LeMasurier and Thomson,Table C.8.1,,Wet chemistry,,,Tephra weight %,43.48,2.1,13.09,2.24,12.6,0.25,11.43,9.23,2.5,1.03,1.29,0.22,0.36,99.82,,,,,,,,,,,,,,,,,,,,
61-225-4,3,Tephrite,Jones Mountains,LeMasurier and Thomson,Table C.8.1,,Wet chemistry,,,Tephra weight %,44.07,2.04,13.96,1.33,13.03,0.21,10.79,8.97,2.58,1.05,0.39,0.1,1.1,99.62,,,,,,,,,,,,,,,,,,,,
61-12-44,4,Basalt,Jones Mountains,LeMasurier and Thomson,Table C.8.1,,Wet chemistry,,,Tephra weight %,44.39,2.08,14.49,2.62,12.73,0.25,8.49,8.75,2.8,1.03,1.2,0.36,0.44,99.63,,,,,,,,,,,,,,,,,,,,
