#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Bridgeman Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,Y,Zn,Zr,,,,,,
P.640.1b,1,Basaltic andesite,Bridgeman Island,LeMasurier and Thomson,Table D.1.1,,XRF,,total Fe expressed as Fe2O3,Tephra weight %,52.88,0.64,17.68,7.43,0.13,6.14,10.3,3.54,0.47,0.06,99.27,Tephra ppm,70,10,130,19,2,1,40,5,11,332,2,10,62,58,,,,,,
P.642.4,2,Basaltic andesite,Bridgeman Island,LeMasurier and Thomson,Table D.1.1,,,,total Fe expressed as Fe2O3,Tephra weight %,53.04,0.58,18.26,7.39,0.13,5.94,10.37,3.11,0.53,0.06,99.41,Tephra ppm,86,8,87,19,4,1,28,5,12,311,1,11,62,69,,,,,,
P.646.1,3,Basaltic andesite,Bridgeman Island,LeMasurier and Thomson,Table D.1.1,,,,total Fe expressed as Fe2O3,Tephra weight %,53.96,0.64,18.17,7.38,0.13,5.1,9.5,3.61,0.67,0.07,99.23,Tephra ppm,101,8,59,20,3,1,30,6,18,283,4,13,67,86,,,,,,
P.640.3a,4,Basaltic andesite,Bridgeman Island,LeMasurier and Thomson,Table D.1.1,,,,total Fe expressed as Fe2O3,Tephra weight %,54.06,0.75,19.04,7.51,0.13,4.39,9.33,3.86,0.57,0.06,99.7,Tephra ppm,84,9,40,22,2,1,20,7,14,346,1,11,65,76,,,,,,
P.642.2c,5,Basaltic andesite,Bridgeman Island,LeMasurier and Thomson,Table D.1.1,,,,total Fe expressed as Fe2O3,Tephra weight %,54.72,0.6,18.83,6.87,0.13,5.04,9.85,3.49,0.57,0.07,100.17,Tephra ppm,80,8,67,21,3,1,22,4,11,319,1,9,64,76,,,,,,
