#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Scott Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O-,Total,element,Ba,Co,Cr,Ga,Ni,Rb,V
E27-34C,1,Mugearite,Dredge sample,LeMasurier and Thomson,Table F.10.1,,,,,Tephra weight %,50.93,1.53,17.81,2.26,7.84,0.31,2.18,5.8,6.39,2.44,0.63,0.25,100,Tephra ppm,670,13,6,21,6.5,51,50
,2,phonolite,Scott Island,LeMasurier and Thomson,Table F.10.1,,,,,Tephra weight %,55.93,0.64,19.61,1.75,6.32,0.13,0.5,3.53,7.75,3.67,0.12,0.1,100.24,Tephra ppm,-99,-99,-99,-99,-99,-99,-99
E27-34B,3,Phonolite,Dredge sample,LeMasurier and Thomson,Table F.10.1,,,,,Tephra weight %,57.14,0.24,18.76,1.84,5.88,0.36,0.12,2.59,8.79,3.63,0.13,0.13,100,Tephra ppm,920,-99,6,23,8.5,97,tr
E27-34D,4,Phonolite,Dredge sample,LeMasurier and Thomson,Table F.10.1,,,,,Tephra weight %,57.28,0.21,18.81,2.21,5.36,0.29,0.09,2.71,8.74,3.59,0.15,0.14,100,Tephra ppm,1160,-99,8,21,7,95,10
E27-34A,5,Phonolite,Dredge sample,LeMasurier and Thomson,Table F.10.1,,,,,Tephra weight %,58.76,0.11,18.68,3.01,2.51,0.27,0.1,1.63,9.14,3.97,0.07,0.45,100,Tephra ppm,880,-99,5,21,7,89,tr
