#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Pinafore-Debussy Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,NiO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Eu,Hf,La,Lu,Nb,Nd,Ni,Rb,Sm,Sr,Ta,Tb,Th,V,Y,Yb,Zr
KG.2223.3,1,Basanite,6 km SW Mount Pinafore,LeMasurier and Thomson,Table C.2.1,,XRF,,,tephra weight %,46.32,2.28,15.22,1.53,8.9,0.18,-99,8.23,7.9,4.32,2.09,0.65,98.61,Tephra ppm,247,-99,291,-99,-99,46,-99,57,-99,97,17,-99,763,-99,-99,3,175,26,-99,303
KG.3609.9,2,Tephrite,SE of Mount Pinafore summit,LeMasurier and Thomson,Table C.2.1,,XRF,,,tephra weight %,46.95,2.85,15.58,1.45,9.7,0.17,-99,8.01,8.36,4.24,1.83,0.68,100.25,Tephra ppm,113,62.19,234,2.39,6.72,36.61,-99,42,42.27,138,12,7.35,838,3.26,1.09,3.81,-99,26,2.08,283
KG.3616.5,3,top of Hawaiite flow,SE of Mount Pinafore summit,LeMasurier and Thomson,Table C.2.1,,XRF,,,tephra weight %,48.6,2.42,2.42,1.38,9.26,0.17,-99,6.16,7.18,4.67,1.81,0.83,99.38,Tephra ppm,176,87.28,188,2.2,7.69,49.37,0.35,56,42.15,85,14,7.89,938,3.91,0.97,5.54,-99,26,2.46,370
KG.2230.5,1,Kaersutite megacryst,Mount Pinafore,LeMasurier and Thomson,Table C.2.2,,,"R. Hutchinson, British museum of natural history, England",,tephra weight %,38.3,6,14.3,-99,14.6,0.17,-99,9.3,9.8,2.89,1.1,-99,96.46,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
KG.2230.5,2,Olivine,Mount Pinafore,LeMasurier and Thomson,Table C.2.2,,,"R. Hutchinson, British museum of natural history, England",,tephra weight %,40.3,-99,-99,-99,9.05,0.13,0.31,49.2,0.07,-99,-99,-99,99.06,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
KG.2230.5,3,Chrome diopside,Mount Pinafore,LeMasurier and Thomson,Table C.2.2,,,"R. Hutchinson, British museum of natural history, England",,tephra weight %,52.5,0.08,4.44,-99,2.18,0.08,-99,16.3,22.3,0.74,-99,-99,99.57,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
KG.2230.5,4,Enstatite,Mount Pinafore,LeMasurier and Thomson,Table C.2.2,,,"R. Hutchinson, British museum of natural history, England",,tephra weight %,54.9,0.04,4,-99,5.76,0.14,-99,33.2,0.62,0.06,-99,-99,99.22,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
