#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Seal Nunataks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,Element,Ba,Ce,Cr,Dy,Er,Eu,Gd,La,Lu,Nb,Nd,Ni,Rb,Sm,Sr,Y,Yb,Zr
D.4105.1,1,Hawaiite,Akerlundh Nunatak,LeMasurier and Thomson,Table D.13.1,,wet chemistry,,,Tephra weight %,47.8,2.73,15.13,2.97,8.77,0.14,7.64,8.46,3.65,1.35,0.47,0.58,0.17,99.86,tephra ppm,114,49.3,-99,6.04,2.73,2.76,7.66,24.9,0.2,-99,30.2,-99,8,6.7,585,-99,1.9,-99
D.4689.1,2,Alkalai basalt,Bull Nunatak,LeMasurier and Thomson,Table D.13.1,,XRF,,,Tephra weight %,48.2,1.98,14.89,11.61,-99,0.15,9.19,8.39,3.65,1.11,0.21,-99,-99,100.38,tephra ppm,115,25,276,-99,-99,-99,-99,15,-99,26,16,167,13,-99,410,17,-99,145
D.4114.1,3,Hawaiite,Larsen Nunatak,LeMasurier and Thomson,Table D.13.1,,wet chemistry,,,Tephra weight %,49.36,1.96,14.24,1.98,9.38,0.15,9.61,8.25,3.37,0.87,0.25,0.35,0.06,99.82,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,-99,375,-99,-99,-99
D.4691.1,4,Basalt,Bruce Nunatak,LeMasurier and Thomson,Table D.13.1,,XRF,,,Tephra weight %,50.85,2.32,14.93,11.44,-99,0.2,5.9,8.47,3.58,1.19,0.27,-99,-99,99.15,tephra ppm,132,40,87,-99,-99,-99,-99,20,-99,25,20,83,14,-99,487,21,-99,149
