#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Peter I Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,CO2,BaO,Cl,S,Total
B-2,1,Basalt ,Peter I Island,LeMasurier and Thomson,Table F.11.1,,,,,Tephra wieght %,47.64,2.89,12.79,3.25,8.96,0.18,10.64,8.25,2.64,1.1,0.51,1.01,-99,-99,0.05,0.09,0.02,100.02
PI-5,2,Basalt,Peter I Island,LeMasurier and Thomson,Table F.11.1,,,,,Tephra wieght %,48.46,2.94,12.9,2.52,10.93,0.17,8.39,8.63,2.42,1.21,-99,0.4,0.09,0.36,-99,-99,-99,99.42
B-3,3,Basalt,Peter I Island,LeMasurier and Thomson,Table F.11.1,,,,,Tephra wieght %,48.88,3.25,12.46,3.77,8.09,0.15,8.64,8.7,3.08,1.55,0.59,0.15,0.67,-99,0.06,0.14,0.01,100.19
PI-14,4,Trachyte,Peter I Island,LeMasurier and Thomson,Table F.11.1,,,,,Tephra wieght %,61.13,0.51,18.49,4.77,0.58,0.01,1.09,2.51,6.31,3.1,0.25,0.03,0.43,1.25,-99,-99,-99,100.46
B-5,5,Trachyte,Peter I Island,LeMasurier and Thomson,Table F.11.1,,,,,Tephra wieght %,62.31,0.72,17.28,2.65,1.67,0.05,1.41,2.42,6.72,3.58,0.29,0.11,0.3,-99,0.06,0.34,0.03,99.94
