#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Visokoi Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Co,Cr,Cu,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
SSW.10.2,1,Basalt,Finger Point,LeMasurier and Thomson,Table E.4.1,,XRF ,"U. Nottingham, England",total Fe expressed as Fe2O3,Tephra weight %,51.12,0.89,17.83,10.34,0.19,5.47,11.67,2.22,0.39,0.08,100.2,Tephra ppm,127,22,28,75,142,4,2,20,5,11,157,3,2,280,21,69,59
SSW.5.1,2,Basalt,Irving Point,LeMasurier and Thomson,Table E.4.1,,XRF ,"U. Nottingham, England",,Tephra weight %,52.61,0.97,16.24,10.83,0.19,5.42,10.49,2.43,0.49,0.09,99.76,Tephra ppm,149,7,37,68,139,<2,<1,19,7,11,149,<1,2,283,25,85,71
SSW.7.1,3,Basaltic andesite,Shamrock hill,LeMasurier and Thomson,Table E.4.1,,XRF ,"U. Nottingham, England",,Tephra weight %,53.51,1.38,14.73,14.01,0.21,4.11,8.77,2.73,0.57,0.13,100.15,Tephra ppm,197,12,40,45,208,8,<1,11,4,14,131,<1,<1,380,30,108,90
