#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Adare Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,index,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,unit,Ba,Cr,Cu,Ga,Nb,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
AW82209,1,Basanite,Cape Adare,LeMasurier and Thomson,Table A.1.1,A.C. Wright,XRF,Kyle P.R.,Total Fe expressed as Fe2O3,tephra weight %,43.06,3.43,15.9,13.67,0.23,5.44,10.22,4.43,1.72,0.92,0.65,99.67,,ppm,614,46,55,21,126,29,2,49,998,10,259,40,113,351
AW82213,2,Trachyte flow,Cape Adare,LeMasurier and Thomson,Table A.1.1,A.C. Wright,XRF,Kyle P.R.,Total Fe expressed as Fe2O3,tephra weight %,58.1,0.16,18.57,6.18,0.22,0.24,1.53,7.73,5.16,0.05,1.63,99.57,,ppm,902,5,15,26,235,6,14,179,134,25,2,38,118,782
AW82211G,3,Trachyte dike,Cape Adare,LeMasurier and Thomson,Table A.1.1,A.C. Wright,XRF,Kyle P.R.,Total Fe expressed as Fe2O3,Tephra weight %,65.88,0.16,15.18,4.4,0.13,0.02,0.64,7.01,4.74,0.03,0.86,99.05,,ppm,14,6,13,43,562,12,39,304,11,56,2,150,265,1607
