#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Rydberg Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Cr,La,Nb,Ni,Rb,Sr,V,Y,Zr,,,,,,,,,
T.561.1,1,Hawaiite,Rydberg Peninsula,LeMasurier and Thomson,Table C.6.1,R.G.B. Renner,XRF,A.B. Moyes,,Tephra weight %,47.08,2.55,15.76,1.63,9.2,0.17,7.8,9.61,3.7,1.43,0.4,99.34,Tephra ppm,159,285,19,31,97,7,588,233,27,181,,,,,,,,,
