#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Penguin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,Y,Zn,Zr,,,,,,
P.721.3,1,Alkalai basalt,Penguin Island,LeMasurier and Thomson,Table D.3.1,,XRF,,Total Fe expressed as Fe2O3,Tephra weight %,49.02,1.08,15.81,9.95,0.18,8.95,10.08,3.95,0.48,0.28,99.78,Tephra ppm,148,20,494,21,10,2,159,7,5,534,1,12,69,80,,,,,,
P.802.1,2,Alkalai basalt,Penguin Island,LeMasurier and Thomson,Table D.3.1,,XRF,,Total Fe expressed as Fe2O3,Tephra weight %,49.25,1.22,15.34,10.39,0.18,8.84,10.46,3.7,0.47,0.26,100.11,Tephra ppm,132,19,447,22,7,4,137,6,6,536,1,10,78,80,,,,,,
P.810.4,3,Alkalai basalt,Penguin Island,LeMasurier and Thomson,Table D.3.1,,XRF,,Total Fe expressed as Fe2O3,Tephra weight %,49.28,1.26,17.23,9.81,0.18,6.78,9.71,4.3,0.6,0.3,99.45,Tephra ppm,173,23,192,26,12,4,78,10,7,657,1,10,77,92,,,,,,
P.808.1,4,Alkalai basalt,Penguin Island,LeMasurier and Thomson,Table D.3.1,,XRF,,Total Fe expressed as Fe2O3,Tephra weight %,49.3,1.22,16.58,9.26,0.18,7.74,10.03,4.13,0.58,0.32,99.7,Tephra ppm,146,22,307,25,9,4,107,7,5,612,1,11,73,85,,,,,,
P.807.2,5,Alkalai basalt,Penguin Island,LeMasurier and Thomson,Table D.3.1,,XRF,,Total Fe expressed as Fe2O3,Tephra weight %,49.57,1.19,16.64,9.54,0.17,7.79,10.15,4.18,0.6,0.42,100.25,Tephra ppm,157,24,306,29,10,4,107,6,6,615,1,13,76,89,,,,,,
