#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Hudson Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,Total,Element,Ba,Ce,Cr,La,Nb,Ni,Rb,Sr,Th,V,Y,Zr,,,,
24-1-A,1,Tephrite pillow lava ,Mount Moses,LeMasurier and Thomson,Table C.9.1,,XRF,"U. Nottingham, England",,Tephra weight %,45.79,2.74,16.27,1.86,9.14,0.17,5.55,10.74,4.16,1.43,0.57,-99,-99,0.04,98.46,Tephra ppm,368,79,104,31,38,37,22,755,6,259,26,225,,,,
32-4-A,2,Basalt lava flow,Siren Rock,LeMasurier and Thomson,Table C.9.1,,XRF,"U. Nottingham, England",,Tephra weight %,46.17,2.71,15.78,2.23,9.38,0.17,5.89,11.17,3.76,1.14,0.43,-99,-99,0.04,98.87,Tephra ppm,239,53,115,23,29,48,10,575,-99,269,24,215,,,,
42-4-A,3,Basalt clast,Mount Manthe,LeMasurier and Thomson,Table C.9.1,,XRF,"U. Nottingham, England",,Tephra weight %,46.55,1.89,13.4,1,10.43,0.16,9.43,9.57,3.11,0.97,0.31,-99,-99,0.03,97.36,Tephra ppm,307,39,309,15,19,191,24,477,4,196,17,151,,,,
20-2-B,4,Hawaiite lava flow,Maish Nunatak,LeMasurier and Thomson,Table C.9.1,,XRF,"U. Nottingham, England",,Tephra weight %,47.36,2.52,15.83,2.18,8.42,0.16,5.23,10.43,4.06,1.45,0.54,-99,-99,0.02,98.57,Tephra ppm,2758,71,109,27,29,35,20,706,-99,231,32,250,,,,
9-1-C,5,Basalt pillow,Mount Nickens,LeMasurier and Thomson,Table C.9.1,,XRF,"U. Nottingham, England",,Tephra weight %,47.73,1.92,14.4,1.38,9.72,0.15,8.3,9.87,3.24,0.79,0.31,-99,-99,0.01,98.15,Tephra ppm,214,33,294,15,17,157,12,463,-99,229,24,144,,,,
159a,6,Basalt clast in hyaloclastite,Hedgson Nunantak,LeMasurier and Thomson,Table C.9.1,,XRF,"U. Nottingham, England",,Tephra weight %,47.96,2.12,15.36,5.78,6.64,0.15,7.5,9.4,3.47,1.02,0.38,-99,-99,-99,100.41,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,
208b,7,Basalt lava flow,Mount Manthe,LeMasurier and Thomson,Table C.9.1,,XRF,"U. Nottingham, England",,Tephra weight %,48.43,2.18,15.56,1.72,9.71,0.15,8.2,9.87,3,0.87,0.34,0.45,-99,-99,100.55,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,
