#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Brabant Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,,,,,,,,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,,,,,,,,,,,,,,,,,,,,
OG.344,1,Olivine basalt,east coast of Brabant Island,LeMasurier and Thomson,Table D.7.1,,wet chemistry,,,Tephra weight %,48.25,1.65,17.04,2.66,7.71,0.18,7.22,10.55,3.34,0.39,0.37,99.36,,,,,,,,,,,,,,,,,,,,
