#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt%,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O+,H2O-,F,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
1A,1,Phonolitic trachyte,Edwards Spur,LeMasurier and Thomson,Table B.14.1,,wet chemistry,H.B. Wiik,,Tephra weight %,60.54,0.26,15.45,5.24,2.25,0.23,0,0.92,8.84,5,-99,0.03,0,0.47,0.02,99.25,tephra ppm,78,404,-99,8,-99,-99,139,237,15,-99,119,8,24,4,2,115,-99,1491
2A,2,Pantellerite,Prahl Crags,LeMasurier and Thomson,Table B.14.1,,wet chemistry,H.B. wiik,,Tephra weight %,69.8,0.37,10.87,4.03,3.08,0.22,0.65,0.29,6.2,4.53,-99,0.03,0.1,0,0,100.17,tephra ppm,40,330,0,16,37,45,141,213,15,25,152,7,26,7,5,130,305,1468
2A,1,Anorthoclase,Mount Moulton,LeMasurier and Thomson,Table B.14.3,,WDS electron microprobe,"Y. Kawachi U. of Otago, New Zealand",total fe expressed as FeO,Tephra weight %,67.73,0.02,17.82,-99,0.88,0.01,0,0.02,6.5,6.93,0.02,-99,-99,-99,-99,99.95,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2A,2,Ne- Hedenbergite,Mount Moulton,LeMasurier and Thomson,Table B.14.3,,WDS electron microprobe,"Y. Kawachi U. of Otago, New Zealand",,Tephra weight %,49.33,0.28,0.08,-99,29.29,1.07,0.39,15.94,2.6,0.01,0.05,-99,-99,-99,-99,99.01,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2A,3,Aenigmatite,Mount Moulton,LeMasurier and Thomson,Table B.14.3,,WDS electron microprobe,"Y. Kawachi U. of Otago, New Zealand",,Tephra weight %,41.65,8.46,0.13,-99,41.17,1.02,0.16,0.17,7.48,0,0,-99,-99,-99,-99,100.25,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2A,4,Fayalite,Mount Moulton,LeMasurier and Thomson,Table B.14.3,,WDS electron microprobe,"Y. Kawachi U. of Otago, New Zealand",,Tephra weight %,30.36,0.05,0,-99,65.1,3.73,0.67,0.62,0.05,0,0,-99,-99,-99,-99,100.59,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2A,5,Glass,Mount Moulton,LeMasurier and Thomson,Table B.14.3,,WDS electron microprobe,"Y. Kawachi U. of Otago, New Zealand",,Tephra weight %,71.91,0.26,7.27,-99,8.24,0.35,0,0.29,5.76,4.4,0.04,-99,-99,-99,-99,98.55,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
