#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Taylor Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,ZrO,SrO,BaO,S,C,F,Total
,1,Basanite,Lava flow from Black Hill,LeMasurier and Thomson,Table A.25.1,,,,Total Fe expressed as FeO,tephra weight %,41.47,5.19,14.31,3.96,11.48,0.22,7.07,10.03,3.13,1.59,0.49,0.93,-99,0.005,0.08,0.04,-99,-99,-99,100.51
,2,Basanite,Cheyenne Crater,LeMasurier and Thomson,Table A.25.1,,,,Total Fe expressed as FeO,tephra weight %,42.92,3.77,15.34,3.71,10.39,0.23,7.25,10.98,3.15,1.3,0,0.35,0.08,0.03,0.06,0.057,0.1,0.1,0.2,100.02
,3,Basanite,small vent on western edge of Solas Glacier,LeMasurier and Thomson,Table A.25.1,,,,Total Fe expressed as FeO,Tephra weight %,43.1,3.32,14.3,4.89,8.55,0.21,8.3,10,4.31,1.51,0.63,0.66,0.02,-99,0.12,0.05,-99,-99,-99,99.97
,4,Basanite,average of four samples,LeMasurier and Thomson,Table A.25.1,,,,Total Fe expressed as FeO,Tephra weight %,45,2.9,14.8,-99,13,0.22,7.1,9.3,4.3,1.7,0.65,0.8,0.16,-99,-99,-99,-99,-99,-99,100.13
