#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Mount Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,Element,Ba,Ba*,Ce*,Cr,Cr*,Cs*,Cu,Eu*,Ga,Hf*,La*,Lu*,Nb*,Nd*,Ni,Pb,Rb,Rb*,Sb*,Sc*,Sm*,Sr,Ta*,Tb*,Th,Th*,U*,V,Y,Yb*,Zn,Zr
AW84728,1,Basanite flow,"2000m, north side of Mount Discovery ",LeMasurier and Thomson,Table A.21.1,,XRF,,Total Fe expressed as Fe3O2,Tephra Weight %,42.94,3.96,14.28,14.06,0.22,7.81,10.63,4.18,1.81,0.89,-0.6,100.18,,Tephra ppm,517,497,144,181,186,0.38,79,3.55,24,9.37,68.4,0.36,104,66.9,82,7,42,38,-99,24.9,12.4,1025,6.59,1.38,7,7.8,1.8,316,36,2.61,108,409
AW84756,2,Hawaiite flow,"2400m, near summit of Mount Discovery",LeMasurier and Thomson,Table A.21.1,,XRF,,Total Fe expressed as Fe3O2,Tephra Weight %,48.46,2.76,17.69,10.87,0.26,3.66,7.96,5.45,2.21,1.39,-0.63,100.08,,Tephra ppm,797,776,223,10,1.7,0.45,17,4.95,22,9.53,106,0.48,142,98.7,5,7,51,49,0.1,6.3,16.7,1990,8.53,1.65,6,9.8,2.2,107,42,3.17,110,453
AW84718,3,Ne-benmoreite flow,"1900m, north side of Mount Discovery",LeMasurier and Thomson,Table A.21.1,,XRF,,Total Fe expressed as Fe3O2,Tephra Weight %,51.46,1.83,18.92,8.07,0.23,2.25,4.83,7.07,3.68,0.92,0.1,99.36,,Tephra ppm,1063,972,210,10,1.1,0.83,19,4.58,24,12.5,100,0.53,197,90.4,5,6,76,75,0.2,3.6,14.1,1614,11.2,1.6,12,13.6,4.3,41,43,3.62,89,641
AW84719,4,Trachyte flow,"2000m, north side of Mount Discovery ",LeMasurier and Thomson,Table A.21.1,,XRF,,Total Fe expressed as Fe3O2,Tephra Weight %,57.81,0.94,18.83,5.89,0.23,1.04,2.42,6.99,4.6,0.33,0.65,99.73,,Tephra ppm,1078,1102,197,10,0.5,1.06,15,2.63,23,14.4,105,0.51,186,68.2,5,11,103,102,0.2,1.6,9.49,536,11.4,1.06,19,18.8,4.4,20,33,3.23,98,737
AW84741,5,Phonolite dome,"1950m, north side of Mount Discovery",LeMasurier and Thomson,Table A.21.1,,XRF,,Total Fe expressed as Fe3O2,Tephra Weight %,58.92,0.28,19.06,4.72,0.26,0.44,0.87,8.61,5.46,0.07,0.84,99.53,,Tephra ppm,112,160,260,10,0.9,1.9,15,1.07,29,25.2,144,0.75,309,75.9,5,16,164,157,0.5,0.6,10.7,32,19,1.35,35,30.6,9.1,3,51,4.73,135,1282
