#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Saunders Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Co,Cr,Cu,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
SSS.1.3,1,Basalt,Blackstone Plain,LeMasurier and Thomson,Table E.7.1,,XRF,U. Nottingham,Total fe expressed as Fe2O3,tephra weight %,50.71,0.9,16.94,10.76,0.19,6.77,11.34,2.15,0.39,0.09,100.24,Tephra ppm,122,15,37,193,166,<2,<1,64,10,10,132,4,<1,308,23,76,59
SSS.15.1,2,Basalt,Nattriss Point,LeMasurier and Thomson,Table E.7.1,,XRF,U. Nottingham,Total fe expressed as Fe2O3,tephra weight %,52.65,1,15.08,11.86,0.2,6.02,10.54,2.18,0.35,0.1,99.98,Tephra ppm,116,<5,34,96,95,9,<1,20,5,10,120,<1,<1,356,24,85,60
SSS.5.2,3,Basaltic andesite,Yellowstone Crags,LeMasurier and Thomson,Table E.7.1,,XRF,U. Nottingham,Total fe expressed as Fe2O3,tephra weight %,53.26,1.03,15.07,11.98,0.2,5.36,10.05,2.43,0.39,0.11,99.88,Tephra ppm,128,22,32,77,250,<2,<1,22,6,12,123,1,<1,375,25,90,62
