#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk James Ross Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Analyses Type,Analyzed by,Comments,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,CO2,Total,Element,Ba,Ce,Cr ,La,Nb,Ni,Pb,Rb,Sr,Th,Y,Zr
D.3759.1,1,Alkalai basalt,Bibby Point,LeMasurier and Thomson,Table D.12.1,XRF,,,48.1,1.72,15.95,0.38,10,0.15,8.88,8.26,3.37,14.08,0.5,-99,-99,-99,99.2,Tephra ppm,146,47,260,17,25,167,5,12,545,2,25,177
D.4053.9,2,Hawaiite,Gourdon Glacier,LeMasurier and Thomson,Table D.12.1,XRF,,,48.2,2.38,17.62,1.71,8.04,0.16,4.9,8.58,4.37,1.85,0.7,-99,-99,-99,98.88,Tephra ppm,208,59,34,30,44,20,8,20,826,4,29,232
D.4085.7,3,Mugearite,Hidden Lake,LeMasurier and Thomson,Table D.12.1,XRF,,,51,3.37,14.51,7.88,3.92,0.17,3.09,6.74,4.85,2.65,0.92,-99,-99,-99,99.42,Tephra ppm,284,92,20,45,58,18,9,39,392,4,49,341
D.4088.5,4,Trachyte,Palisade Nunatak,LeMasurier and Thomson,Table D.12.1,wet chemistry,,,57.06,1.19,18.19,2.75,2.5,0.09,1.3,2.91,5.69,4.46,0.28,3.1,0.1,0.12,99.74,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
D.4088.4,5,Trachyte,Palisade Nunatak,LeMasurier and Thomson,Table D.12.1,wet chemistry,,,58.58,0.76,19.23,2.26,2.04,0.06,0.75,2.52,6.36,4.91,0.08,2.16,0.13,0.13,99.97,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
