#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Royal Society Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,SrO,BaO,NiO,Cr2O3,LOI,Total
,1,Vesicular basanite,Vent between Pipecleaner and Radian Glaciers,LeMasurier and Thomson,Table A.24.1,,,,Total Fe expressed as Fe2O3,tephra weight %,42.48,3.34,12.88,3.75,7.87,0.19,10.88,11.08,2.52,1.12,-99,-99,-99,-99,-99,0.02,0.08,0.94,97.26
,2,Basanite tephra layer,Kempe Glacier,LeMasurier and Thomson,Table A.24.1,,,,Total Fe expressed as Fe2O3,tephra weight %,43.15,3.41,14.57,13.31,-99,0.19,7.82,11.72,3.41,1.24,0.64,-99,-99,-99,-99,-99,-99,-99,99.46
,3,Basanite,Brandau vent,LeMasurier and Thomson,Table A.24.1,,,,Total Fe expressed as Fe2O3,Tephra weight %,43.3,3.42,12.8,3.19,9.33,0.19,10.9,12.9,2.62,0.93,0.55,0.1,0.03,0.09,0.03,-99,-99,-99,100.4
,4,Kaersutite basanite,Foster Crater,LeMasurier and Thomson,Table A.24.1,,,,Total Fe expressed as Fe2O3,Tephra weight %,43.57,3.9,14.99,13.66,-99,0.19,8.18,10.96,2.7,1.2,0.63,-99,-99,-99,-99,-99,-99,0.13,100.15
,5,Ne-Hawaiite,Miers Valley,LeMasurier and Thomson,Table A.24.1,,,,Total Fe expressed as Fe2O3,Tephra weight %,50,2.36,18.7,2.85,5.85,0.2,2.58,6.73,6.35,3.43,0.99,0.36,0.03,0.15,0.07,-99,-99,-99,99.9
