#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Campbell Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,element,Ba,Ce,Cr,La,Nb,Ni,Rb,Sr,Th,V,Y,Zr
39796,1,Alkalai Basalt,SW Puiseux Peak,LeMasurier and Thomson,Table G.3.1,,XRF,,,Tephra weight %,46.86,3,12.85,2.15,10.76,0.19,10.95,9.72,2.14,0.89,0.48,100,Tephra ppm,251,73,350,38,50,265,23,542,6,238,28,192
36168,2,Hawaiite,NE Mount Dumas,LeMasurier and Thomson,Table G.3.1,,XRF,,,Tephra weight %,47.63,3.51,17.61,2.01,10.03,0.16,4.27,9.36,3.73,0.91,0.78,100,Tephra ppm,297,79,10,35,50,30,23,634,-99,241,36,203
19891,3,Benmoreite,lion Rock,LeMasurier and Thomson,Table G.3.1,,XRF,,,Tephra weight %,55.1,1.68,16.61,1.7,8.51,0.22,1.87,5.3,5.87,2.43,0.71,100,Tephra ppm,611,150,-99,70,105,4,66,488,12,58,55,545
26172,4,Trachyte,Dent island,LeMasurier and Thomson,Table G.3.1,,XRF,,,Tephra weight %,63.73,0.53,17,0.89,4.43,0.1,0.43,2.17,5.34,5.27,0.11,100,Tephra ppm,825,255,4,142,80,4,84,117,16,9,45,845
