#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Gaussberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,CO2,SO3,F,Cl,Total,element,As,Ba,Ce,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sn,Sr,Th,U,V,Y,Zn,Zr
,1,Leucitite,Gaussberg,LeMasurier and Thomson,Table F.8.1,,XRF,,Mean of 11 analyses,Tephra weight %,50.9,3.42,9.86,2.46,3.78,0.09,7.95,4.63,1.65,11.61,1.48,1.17,0.05,0.05,0.11,0.33,0.06,99.6,Tephra ppm,3,5550,337,306,29,18,210,90,233,40,315,2,1808,30,2.5,106,18,79,1004
