#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Erebus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,element,Ba,Ce,Cr,Cu,Eu,Ga,Hf,La,Lu,Nb,Nd,Ni,Pb,Rb,Sc,Sm,Sr,Ta,Tb,Th,U,V,W,Y,Yb,Zn,Zr
,1,Basanite,Cape Barne,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,43.32,3.78,15.38,12.08,0.22,6.77,10.66,4.63,1.72,1.21,0.03,99.82,,Tephra ppm,485,149.8,130,0.38,43,3.63,21,8.49,70,0.4,111,67,63,4,44,20.3,12.45,1100,6.57,1.33,7.2,1.6,291,37,2.55,104,363
,2,Ne-hawaiite,Tryggve point,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,47.19,2.72,18.24,9.33,0.22,3.13,7.52,5.89,2.83,1.22,0.78,99.05,,Tephra ppm,721,195.3,2,0.62,56,4.01,22,9.78,94.7,0.51,163,86,10,4,62,6.42,14.46,1295,9.46,1.64,11.3,3.2,73,46,3.35,111,482
,3,Ne-mugearite,Fang Ridge,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,49,2.29,18.31,8.81,0.22,3.02,6.16,7.66,3.42,1.08,0.42,100.39,,Tephra ppm,833,197.5,6,0.66,36,3.59,23,11.06,98.8,0.54,173,85,10,4,71,5.68,12.78,1166,10.61,1.52,11.8,3.4,76,42,3.44,99,550
,4,Ne-benmoreite,northwestern Dellbridge Islands,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,50.77,1.95,18.91,7.78,0.22,2.2,5.55,6.9,3.38,0.93,0.17,98.76,,Tephra ppm,909,218.1,2,0.83,21,4.11,24,12.57,107.9,0.59,192,95,7,4,72,5.09,13.89,1188,11.3,1.7,13.9,4.7,37,47,3.95,118,608
,5,Benmoreite,northeastern coast of Ross Island,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,55.81,1.07,18.03,7.71,0.3,1.35,3.75,7.06,3.5,0.41,-0.22,98.75,,Tephra ppm,1109,228.4,2,0.73,10,3.83,25,13.92,113,0.61,193,88,7,6,81,2.07,12.22,923,11.43,1.44,14.3,4.8,10,43,3.93,122,634
,6,Anorthoclase phonolite,Cape Royds,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,55.93,1.1,19.74,4.59,0.18,1.23,3.2,7.77,4.33,0.44,0.15,98.66,,Tephra ppm,1064,204.2,2,1.2,10,4.27,27,18.1,103.9,0.71,236,80,7,4,96,2.8,12.02,990,13.73,1.57,17.5,5.2,13,49,4.74,99,855
,7,Phonolite,northwestern Dellbridge Islands,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,57.24,0.61,19.07,5.69,0.24,0.65,2.44,8.06,4.65,0.18,-0.17,98.65,,Tephra ppm,1221,213.8,2,0.94,12,2.99,26,17.04,114,0.65,220,75,8,8,98,1.05,10.27,538,13.2,1.26,17,5.2,10,41,4.21,101,812
,8,Trachyte,Bomb Peak,LeMasurier and Thomson,Table A.17.1,,XRF,Kyle and Moore,total Fe expressed as FeO,Tephra Weight %,63.51,0.43,15.33,6.15,0.21,0.14,1.44,6.56,5.23,0.05,0.18,99.23,,Tephra ppm,304,325.1,2,3.69,10,2.91,33,25.2,164.9,1.17,258,145,9,31,159,2.79,21,13,14.59,2.87,25.4,7.9,10,92,7.88,269,1085
