#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Franklin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,,Element,Ba,Cr,Cu,Ga,Nb,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
AW82278,1,Basanite,headland at south end of penguin rookery beach,LeMasurier and Thomson,Table A.13.1,A.C. Wright,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,43.82,2.15,13.74,11.92,0.27,7.52,9.77,5.93,2.09,0.88,1.2,99.29,,,Tephra ppm,899,384,45,20,177,128,3,82,1281,15,152,47,121,451
AW82280,2,Basanite,massive flow overlying AW82278,LeMasurier and Thomson,Table A.13.1,A.C. Wright,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,44.03,2.16,13.93,11.95,0.26,7.31,9.74,6.51,2.36,0.89,0.97,100.11,,,Tephra ppm,922,329,46,20,176,123,-99,84,1283,17,146,47,118,457
HC-FRI-2,3,Basanite,"lava flow with olivine nodules, Franklin Island",LeMasurier and Thomson,Table A.13.1,P.J. Ellerman,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,44.09,2.23,13.8,12.93,0.22,9.2,9.96,4.66,1.66,0.63,0.3,99.69,,,Tephra ppm,-99,-99,54,21,104,184,2,59,885,9,-99,35,105,275
