#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Bulk White Island, Black Island, Brown  Peninsula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,LOI,Total,,Ag,Ba,Be,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Gd,Hf,Ho,La,Nd,Ni,Pb,Pr,Rb,Sm,Sn,Sr,Tb,Th,U,V,Y,Yb,Zn,Zr
4267,1,Basanite,"north of Mount Heine, White Island ",LeMasurier and Thomson,Table A.19.1,,,"Goldich et al., 1975",Total Fe expressed as Fe2O3,Tephra Weight %,42.7,3.27,12.8,3.1,7.96,0.19,12.7,12.5,2.85,0.96,0.63,0.17,-99,-99,99.83,,1.2,300,2.4,100,54,870,-99,56,-99,-99,-99,-99,-99,-99,43,-99,300,1,-99,30,-99,3,740,-99,-99,-99,280,25,2.6,120,240
7367,2,Alkali Basalt,"Mount Melania, Black Island",LeMasurier and Thomson,Table A.19.1,,,"Goldich et al., 1975",Total Fe expressed as Fe2O3,Tephra Weight %,45,3.07,13.3,5.3,6.38,0.19,9.5,12.5,2.61,1.03,0.54,0.53,0.08,-99,100.03,,0.3,240,2.2,100,45,510,-99,85,-99,-99,-99,-99,-99,-99,35,-99,150,1.6,-99,36,-99,5.1,640,-99,-99,-99,300,23,2.7,126,260
24086,3,Basanite,"Rainbow Ridge, Brown Peninsula",LeMasurier and Thomson,Table A.19.1,,,"Kyle et al., 1979",Total Fe expressed as Fe2O3,Tephra Weight %,42.52,3.8,14.5,13.09,-99,0.21,7.98,11.54,3.74,1.69,0.91,-99,-99,-99,99.98,,-99,287,-99,-99,-99,292,-99,58,-99,-99,-99,-99,-99,-99,-99,-99,131,-99,-99,32,-99,-99,1062,-99,-99,-99,265,-99,-99,102,-99
24088,4,Ne-hawaiite,"Rainbow Ridge, Brown Peninsula",LeMasurier and Thomson,Table A.19.1,,,"Kyle et al., 1979",Total Fe expressed as Fe2O3,Tephra Weight %,48.46,2.56,18.17,9.53,-99,0.21,3.91,7.24,6.37,3.04,0.74,-99,-99,0.07,100.29,,-99,493,-99,195,-99,70,1.2,28,6.1,2.9,3.4,8.7,8.5,1.2,86,65,34,17,18,77,10.5,-99,1063,1.2,16,4.4,143,-99,3.2,112,-99
24089,5,Ne-benmoreite,"Rainbow Ridge, Brown Peninsula",LeMasurier and Thomson,Table A.19.1,,,"Kyle et al., 1979",Total Fe expressed as Fe2O3,Tephra Weight %,52.6,1.38,20.02,6.44,-99,0.19,2.1,4.46,7.77,4.04,0.44,-99,-99,0.56,100,,-99,638,-99,235,-99,53,1.8,16,6.4,3.6,3.6,9,10,1.2,125,66,18,20,21,110,10.5,-99,896,1.2,23,7.3,59,-99,4.2,107,-99
,6,Phonolite,Brown Peninsula,LeMasurier and Thomson,Table A.19.1,,,"Prior, 1907",Total Fe expressed as Fe2O3,Tephra Weight %,58.64,0.28,22.55,0.97,0.99,0,0.16,1.43,9.87,4.98,0,0.43,-99,-99,100.3,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
