#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Cook Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Co,Cr,Cu,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
SSK.1.2,1,Baalt,Reef Point,LeMasurier and Thomson,Table E.11.1,,XRF,"U. Nottingham, England",total Fe expressed asFe2O3,Tephra weight %,50.82,0.51,19,9.35,0.16,5.92,11.37,2.37,0.23,0.05,99.78,Tephra ppm,100,<5,34,29,87,<2,<1,18,8,4,149,<1,<1,179,14,63,35
SSk.1.3,2,Aphrytic dacite,Reef Point,LeMasurier and Thomson,Table E.11.1,,XRF,"U. Nottingham, England",total Fe expressed asFe2O3,Tephra weight %,66.21,0.7,13.35,8.74,0.18,0.84,4.24,4.2,1.58,0.16,100.2,Tephra ppm,351,15,8,13,74,10,4,<2,11,37,119,5,<1,35,55,107,185
