#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Melville Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,Y,Zn,Zr,,,,,
G.31.1,1,Basalt lava,Melville Peak,LeMasurier and Thomson,Table D.4.1,,XRF,,,Tephra weight %,52,0.91,17.14,1.59,5.68,0.12,7.1,10.75,3,0.91,0.12,100.14,Tephra ppm,222,22,115,18,17,2,41,9,16,566,3,21,56,104,,,,,
G.32.1,2,Basalt lava,Melville Peak,LeMasurier and Thomson,Table D.4.1,,XRF,,,Tephra weight %,52.03,0.88,16.85,1.43,5.71,0.14,7.3,11.22,2.87,0.89,0.13,100.1,Tephra ppm,269,33,172,17,16,3,37,8,16,599,4,20,47,103,,,,,
