#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Merrick Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,Element,Ba,Ce,Cr,Dy,Er,Eu,Ga,Gd,La,Lu,Nb,Ni,Pb,Rb,Sr,Sm,Ta,Tb,Th,Ti,V,Y,Yb,Zn,Zr
EE.604,1,Basanite,SW Merrick Mountains,LeMasurier and Thomson,Table C.11.1,,Wet chemistry,,,Tephra weight %,44.64,2.24,15.11,2.84,7.49,0.15,8.13,8.13,4.24,2.54,0.79,2.24,1.3,99.84,Tephra ppm,300,76,170,5.4,2.9,2.35,-99,7.3,41,0.3,50,160,-99,30,850,7.2,<40,1.1,<4,1.10%,180,25,2.3,-99,250
Th.68.2,2,Basanite,Merrick mountains,LeMasurier and Thomson,Table C.11.1,M.R.A. Thomson,XRF,J.L. Smellie,,Tephra weight %,44.9,2.24,14.38,4.21,6.18,0.17,8.21,8.54,4.58,2.59,0.92,-99,-99,100.06,Tephra ppm,301,86,123,-99,-99,-99,19,-99,52,-99,66,123,9,23,984,-99,-99,-99,1,-99,-99,28,-99,93,257
Th.68.1,3,Basanite,Merrick mountains,LeMasurier and Thomson,Table C.11.1,,XRF,,,Tephra weight %,45.23,2.57,14.66,1.2,9.25,0.15,8.09,8.18,4.88,2.79,0.77,-99,-99,100.11,Tephra ppm,298,84,73,-99,-99,-99,20,-99,46,-99,70,105,7,26,959,-99,-99,-99,4,-99,-99,26,-99,101,277
