#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk SE Alexander Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,Y,Zn,Zr,,,,,
KG.68.12,1,Potassic trachybasalt,"Waitabit Cliffs, Alexander Island",LeMasurier and Thomson,Table C.5.1,R.R. Horne,XRF,L.J. Smellie,,Tephra weight %,45.3,2.62,15.73,4.27,5.88,0.16,6.7,9.1,2.84,2.31,0.89,100.04,Tephra ppm,236,88,191,19,32,51,98,9,16,1136,0,24,74,274,,,,,
KG.103.225,2,Phonotephrite,"Waitabit Cliffs, Alexander Island",LeMasurier and Thomson,Table C.5.1,M.R.A. Thomson,XRF,L.J. Smellie,,Tephra weight %,46.4,2.26,16.33,3.73,5.89,0.14,4.22,6.73,4.64,3.44,1.09,100.06,Tephra ppm,184,98,56,24,54,70,42,8,17,1282,4,22,102,427,,,,,
KG.103.224,3,Potassic trachybasalt,"Waitabit Cliffs, Alexander Island",LeMasurier and Thomson,Table C.5.1,M.R.A. Thomson,XRF,L.J. Smellie,,Tephra weight %,46.53,2.22,16.33,3.53,6.59,0.17,4.89,7.44,3.03,3.18,1.04,100.07,Tephra ppm,180,109,56,22,54,66,41,8,15,1357,2,24,91,416,,,,,
