#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Hut Point Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O,LOI,Total,,Element,Ba,Cr,Cs,Cu,Dy,Er,Eu,Gd,Hf,Ho,La,Nb,Nd,Ni,Pb,Pr,Rb,Sm,Sn,Sr,Tb,Th,U,V,Y,Yb,Zr
2-105.53,1,Basanite,"DVDP hole 2, 105.53m deep",LeMasurier and Thomson,Table A.18.1,,XRF,P.R. Kyle,,Tephra Weight %,41.68,4.06,12.92,3.06,8.48,0.18,12.13,11.32,3.16,1.48,0.84,-99,99.31,,Tephra ppm,277,469,0.31,52,4.7,2.5,2.7,7,5.8,1.1,53,80,49,276,8,13,30,9.2,2,829,0.94,4.7,1.2,300,33,1.6,82
1-90.72,2,Basanite,"DVDP 1, 90.72 m deep",LeMasurier and Thomson,Table A.18.1,,XRF,P.R. Kyle,,Tephra Weight %,42.15,4.66,15.84,4.73,8.27,0.22,5.54,10.6,4.51,2.09,1.3,0.1,100.01,,Tephra ppm,348,31,0.45,42,7.6,3.7,4.7,11,7.5,1.5,91,150,88,25,18,24,41,15,2.3,1242,1.4,6.5,1.7,291,58,2.4,109
2-76.38,3,Phonotephrite,"DVDP 2, 76.38 m deep",LeMasurier and Thomson,Table A.18.1,,XRF,P.R. Kyle,,Tephra Weight %,47.27,2.95,17.61,3.35,6.06,0.21,3.72,7.76,6.07,3.11,0.81,0.4,99.32,,Tephra ppm,545,56,0.65,29,6.3,3.5,3.9,11,10,1.5,91,140,78,22,13,21,72,11,2.3,1374,1.2,13,3.6,208,36,2.8,111
2-61.23,4,Tephriphonolite,"DVDP 2, 61.223 m deep",LeMasurier and Thomson,Table A.18.1,,XRF,P.R. Kyle,,Tephra Weight %,51.9,1.85,19.31,3.01,3.96,0.2,2.07,5.43,7.26,3.7,0.6,-99,99.29,,Tephra ppm,695,15,1.6,15,6.3,3.2,3.4,8.8,14,1.3,140,190,74,8,21,23,97,11,3,1194,1.2,18,5,77,41,3.5,109
25793,5,Phonolite,Ovservation Hill,LeMasurier and Thomson,Table A.18.1,,XRF,P.R. Kyle,,Tephra Weight %,54.82,1.16,20.41,1.99,2.52,0.18,1.24,3.46,8.5,4.57,0.26,0.49,99.6,,Tephra ppm,709,8,2,14,5.5,3.7,2.6,8.3,20,1.4,150,280,61,8,30,20,139,9.2,3.7,782,1,26,8.8,55,41,4.3,105
