#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Paulet Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,Element,Ba,Ce,Dy,Er,Eu,Gd,La,Lu,Nd,Rb,Sm,Sr,Yb,,,,
27788,1,Alkalai basalt (Hawaiite),North end of Paulet island,LeMasurier and Thomson,Table D.8.1,,wet chemistry,,,Tephra weight %,46.41,2.6,16.33,2.18,7.83,0.16,8.11,9.6,4.3,1.34,0.83,0.09,0.13,99.91,Tephra ppm,205,108.9,7.9,4.4,3.39,9.51,53.8,0.51,49.6,16,9.1,1000,3.68,,,,
