#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Balleny Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,element,Ba,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr
24591,1,Basanite,3 km NE Sabrina Island,LeMasurier and Thomson,Table F.9.1,,,,,Tephra weight %,44.34,2.52,15.2,4.15,6.38,0.18,10.74,10.27,3.41,1.28,0.6,0.52,0.6,100.19,Tephra ppm,275,362,78,258,31,621,197,-99,72,-99
24583,2,Basanite,Southern Sabrina Island,LeMasurier and Thomson,Table F.9.1,,,,,Tephra weight %,44.74,3,16.34,3.72,7.72,0.19,7.53,10.6,3.86,1.28,0.63,0.31,0.04,99.96,Tephra ppm,279,196,56,106,32,688,227,-99,79,-99
2200,3,Basanite,dredge sample,LeMasurier and Thomson,Table F.9.1,,,,,Tephra weight %,44.99,2.7,15.51,3.43,7.27,0.19,9.29,9.63,4.32,1.13,0.7,0.32,0.01,99.45,Tephra ppm,450,200,-99,200,14,800,300,50,-99,350
,4,Basanite,Borradaile Island,LeMasurier and Thomson,Table F.9.1,,,,,Tephra weight %,45.06,2.69,18.76,0.23,9.94,0.29,7.33,9.72,4.19,1.57,0.65,0.12,0.02,100.45,Tephra ppm,540,-99,-99,-99,-99,-99,-99,-99,-99,-99
,5,Hawaiite,Buckle Island,LeMasurier and Thomson,Table F.9.1,,,,,Tephra weight %,47.73,2.39,16.87,2.52,8.87,0.18,5.8,8.64,4.9,1.99,0.65,0.14,0.02,100.57,Tephra ppm,540,-99,-99,-99,-99,-99,-99,-99,-99,-99
