#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Northern Livingston and Greenwich Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Ga,La,Nb,Ni,Rb,Sr,Y,Zn,Zr,,,,,,,
P.55.1,1,Alkalai basalt,"Mount Plymouth, Greenwich Islands",LeMasurier and Thomson,Table D.6.1,,XRF,,,Tephra weight %,48.2,1.31,15.5,2.81,7.02,0.6,10.2,10.79,3.62,0.49,0.19,100.29,Tephra ppm,143,20,700,19,14,4,367,-99,477,12,68,77,,,,,,,
P.54.1,2,Alkalai basalt,"Mount Plymouth, Greenwich Islands",LeMasurier and Thomson,Table D.6.1,,XRF,,,Tephra weight %,48.4,1.26,17.1,2.74,6.84,0.16,8.2,11.45,3.96,0.42,0.18,100.71,Tephra ppm,124,14,470,21,12,3,206,4,470,14,66,58,,,,,,,
P.51.1,3,Alkalai basalt,"Gleaner Heights, Livingston Island",LeMasurier and Thomson,Table D.6.1,,XRF,,,Tephra weight %,50.3,1.08,18.1,2.55,6.38,0.15,5,11.27,4.15,0.56,0.17,99.71,Tephra ppm,175,8,110,24,9,3,35,7,590,16,76,50,,,,,,,
