#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Tabarin Peninsula and Dundee Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,H2O+,H2O-,Total,Element,Rb,Sr,,,,,,,,,,,
27831,1,Hawaiite (alkalai basalt),NW Tabarin Peninsula,LeMasurier and Thomson,Table D.9.1,,wet chemistry,,,Tephra weight %,47.64,1.86,15.25,2.05,8.82,0.18,9.66,8.49,3.71,1.26,0.44,-99,0.65,0.05,100.06,Tephra ppm,19,640,,,,,,,,,,,
27827,2,Hawaiite,"Cape Purvis, southern Dundee Island",LeMasurier and Thomson,Table D.9.1,,wet chemistry,,,Tephra weight %,47.99,2.65,16.58,1.64,8.36,0.18,6.2,9.94,4.09,1.58,0.52,-99,0.05,0.07,99.85,Tephra ppm,-99,-99,,,,,,,,,,,
D.3302.1,3,fresh olivine hyalobasalt clast from tuff breccia,Tabarin Peninsula,LeMasurier and Thomson,Table D.9.1,,wet chemistry,,,Tephra weight %,48.85,1.84,15.58,1.76,8.83,0.15,8.62,8.15,3.76,1.17,0.47,0.65,0.39,0.16,100.38,Tephra ppm,-99,-99,,,,,,,,,,,
