#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Hallett Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,Sample Name
21482,1,Alkali basalt,Tucker Glacier,LeMasurier and Thomson,Table A.2.1,,,,west of Crater Cirque,tephra weight %,44.8,3.05,14.1,2.8,8.6,0.02,10.4,11.1,2.6,0.9,0.43,1.3,0.4,100.5,21482
AW82229F,2,Hawaiite,Cotter cliffs,LeMasurier and Thomson,Table A.2.1,A.C. Wright,XRF,P.R.Kyle,,tephra weight %,47.36,3.04,16.78,12.26,-99,0.21,4.2,7.88,4.4,1.48,0.72,1.45,-99,99.78,AW82229F
VC-9,3,Mugearite,Cotter cliffs,LeMasurier and Thomson,Table A.2.1,W.C. McIntosh,XRF,P.R.Kyle,aphanitic flow,Tephra weight %,50.14,2.31,16.03,11.96,-99,0.24,2.99,6.48,4.94,2.31,1.04,1.34,-99,99.78,VC-9
VC-42,4,Mugearite,Cape Wheatstone,LeMasurier and Thomson,Table A.2.1,W.C. McIntosh,XRF,P.R.Kyle,lava flow,Tephra weight %,51.64,1.94,16.68,10.28,-99,0.24,2.81,5.77,5.6,1.98,1.1,1.73,-99,99.77,VC-42
21455,5,Leucite trachyte,Salmon cliff,LeMasurier and Thomson,Table A.2.1,,,,east side of Edisto Inlet,Tephra weight %,62.3,0.3,19.6,0.3,2.7,0.02,0.3,1.3,7.7,4.4,0.07,0.5,0.55,100.04,21455
247C,6,Q-trachyte,Hallet Peninsula,LeMasurier and Thomson,Table A.2.1,,,,large irregular bulbous mass,Tephra weight %,67.75,0.24,14.88,3.77,0.31,0.14,0.02,1.01,5.8,5.25,0.01,0.29,0.08,99.55,247C
