#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Henry Nunataks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,Element,Ba,Ce,Cr,Eu,La,Nb,Nd,Ni,Rb,Sr,Ta,Th,Ti,V,Y,Yb,Zr,,
Ke.241c,1,Potassic trachybasalt dike cutting basaltic flow,Central nunatak,LeMasurier and Thomson,Table C.10.1,K.S. Kellogg,XRF,"P.H. Briggs et. al, USGS",,Tephra weight %,47.9,2.11,15.5,3.81,6.11,0.15,7.85,8.98,3.48,1.86,0.5,0.87,0.47,99.59,Tephra ppm,250,37,270,2,24,30,25,170,30,590,<40,4,1.20%,200,26,3,200,,
