#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Rothschild Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Eu,Hf,La,Lu,Nb,Nd,Ni,Rb,Sm,Sr,Ta,Tb,Th,Y,Yb,Zr,,,
Kg3619.1,1,Tephrite,Southeastern Rothschild Island,LeMasurier and Thomson,Table C.1.1,,XRF,,,Tephra weight %,46.9,2.65,14.42,1.15,8.41,0.15,9.19,10.03,3.88,2.21,..85,99.86,Tephra ppm,263,91.74,360,2.55,6.26,53.94,0.29,72,41.25,201,26,8.25,837,4.64,0.91,6.03,26,1.98,267,,,
