#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Bouvetoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,element,Ba,Ce,Co,Cr,Eu,Ga,La,Lu,Nb,Ni,Rb,Sc,Sm,Sr,Tb,Th,U,V,Y,Yb,Zr
WJ2B,1,Hawaiite,Rustadkollen,LeMasurier and Thomson,Table F.1.1,,XRF,,,Tephra weight %,50.13,3.5,15.38,3.39,0.19,4.3,8.72,3.36,1.31,0.49,0.27,0.06,-99,100.02,Tephra ppm,250,50,44,20,3.14,23,32.3,0.4,44,21,20,28,10,434,1.4,2.9,0.9,278,38,2.9,281
WJ1B,2,Mugearite,Cape Fie,LeMasurier and Thomson,Table F.1.1,,XRF,,,Tephra weight %,54.37,1.95,15.55,2.89,0.21,2.17,5.98,4.32,2.25,0.65,0.76,0.29,0.56,100.3,Tephra ppm,439,89,18,7,4.55,26,51.8,0.6,69,-99,40,14.7,15,413,2.2,5.8,1.6,47,52,4.8,466
WJ5B,3,Benmoreite,Nyroysa,LeMasurier and Thomson,Table F.1.1,,XRF,,,Tephra weight %,60.59,1.1,15.65,1.63,0.28,0.99,4.32,4.42,2.98,0.32,0.3,0.05,-99,99.92,Tephra ppm,584,106,5,6,4.64,28,65.7,0.7,95,4,56,13.8,16,315,2.6,8.6,2,9,59,5.5,638
WJ18B,4,Rhyolite,Lars Island,LeMasurier and Thomson,Table F.1.1,,XRF,,,Tephra weight %,69.56,0.3,13.29,1.84,0.12,0.09,0.76,5.33,4.85,0.01,-99,0.02,0.29,99.16,Tephra ppm,298,175,4,4,3.09,31,104,1.1,155,9,105,1.3,23,14.5,4.2,16.2,4.8,3,90,9.2,1188
