#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O+,H2O-,F,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
26A,1,Basanite,Mount Cumming,LeMasurier and Thomson,Table B.7.1,,wet chemistry,H.B. Wiik,,tephra weight %,46.07,2.48,14.22,-99,1.5,10.15,0.16,8.95,9.11,4.11,1.58,-99,0.56,0.74,-99,0.09,99.72,tephra ppm,389,109,45,370,69,21,39,68,177,6,43,739,6,4,230,29,9,247
28,2,Pantelleritic trachyte,Mount Cumming,LeMasurier and Thomson,Table B.7.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,60.8,0.58,14.4,-99,4.4,5.5,0.17,0.22,2.6,6.3,4.4,-99,0.09,0.5,-99,0.08,100.04,tephra ppm,3354,133,6,-99,5,25,77,103,-99,10,63,161,10,3,18,59,144,516
29,3,Pantelleritic trachyte,Mount Cumming,LeMasurier and Thomson,Table B.7.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,62.9,0.55,13.17,-99,1.5,6.85,0.24,0.02,1.61,6.78,4.91,-99,0.05,-99,0.48,0.16,98.74,tephra ppm,113,506,-99,8,-99,-99,184,228,18,39,218,15,39,3,4,145,-99,1568
27A,4,Pantelleritic trachyte,Mount Cumming,LeMasurier and Thomson,Table B.7.1,,wet chemistry,"Skyline Laboratory, Denver, CO",,tephra weight %,64.2,0.5,12.6,-99,6.9,1.3,0.06,0.09,1.3,6.9,5.2,-99,0.02,0.05,-99,0.23,99.35,tephra ppm,80,311,-99,-99,6,34,146,187,2,28,181,10,28,5,14,114,246,1177
,1,Olivine,Mount Cumming,LeMasurier and Thomson,Table B.7.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,tephra weight %,40.05,0.02,0.25,0.03,-99,11.99,0.16,47.16,0.16,0.02,0,0.38,-99,-99,-99,-99,100.22,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,2,Chromite,Mount Cumming,LeMasurier and Thomson,Table B.7.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,tephra weight %,0.05,3.05,20.27,37.53,-99,25.16,0.11,13.43,0.01,0.01,0,0.29,-99,-99,-99,-99,99.92,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,3,Pentlandite,Mount Cumming,LeMasurier and Thomson,Table B.7.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,tephra weight %,1.87,0.07,0.59,1.5,-99,53.87,0,0.17,0,0.04,0,19.64,-99,-99,-99,-99,77.75,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
