#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Coulman Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,CO2,Cl,F,Total,,Element,As,Ba,Ce,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sc,Sr,Th,U,V,Y,Zn,Zr
WCM 86040,1,Alkali basalt,Coulman Island,LeMasurier and Thomson,Table A.4.1,W.C. McIntosh,XRF,P.R. Kyle,"flow, southern end of island",tephra weight %,43.95,3.49,18.13,11.7,-99,0.16,4.01,12.07,3.08,0.54,0.55,2.21,-99,-99,-99,-99,99.89,,Tephra ppm,2,336,92,20,15,21,44,56,14,5,6.2,17,1118,6,1,291,23,71,226
WCM 86044,2,Phonotephrite,Coulman Island,LeMasurier and Thomson,Table A.4.1,W.C. McIntosh,XRF,P.R. Kyle,"flow, southern end of island",tephra weight %,51.05,1.99,17,10.42,-99,0.33,1.8,4.23,6.29,3.72,0.84,2.22,-99,-99,-99,-99,99.89,,Tephra ppm,4,1079,285,1,24,27,161,256,8,6,94,6,569,18,1.5,22,67,118,650
218-1,3,Trachyte,Coulman Island,LeMasurier and Thomson,Table A.4.1,,,,north rim of caldera,Tephra weight %,60.87,0.66,17.37,3.21,1.62,0.23,0.57,1.06,7.53,4.8,0.11,1.11,0.32,0.19,0.08,0.15,99.88,,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
