#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Murphy,,no data,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,mineral %,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,index,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,Total,Q,or,ab,an,ne,di,wo,hy,ol,mt,il,hm,ap,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
85-32G,1,Basalt,"main shield, Mount Murphy",LeMasurier and Thomson,Table B.1.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,45.08,4.16,13.69,-99,4.43,10.64,0.26,5.36,10.53,2.91,0.68,0.96,-99,0.39,0.05,99.86,-99,4.02,24.62,22.29,-99,19.38,-99,7.78,4.07,4.42,7.9,-99,2.22,1350,80,47,28,65,19,40,29,15,6,8,584,4,2,386,31,113,154
85-32B,2,Basalt,"main shield, Mount Murphy",LeMasurier and Thomson,Table B.1.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,45.13,4.2,13.62,-99,3.81,11.24,0.26,5.5,10.35,3.05,0.66,0.95,-99,0.18,0.06,99.81,-99,3.9,25.81,21.53,-99,19.4,-99,4.87,7.57,5.52,7.98,-99,2.2,1398,71,50,25,66,21,34,31,21,6,9,590,2,-99,388,32,106,149
67-62,3,Basalt,parasitic cone,LeMasurier and Thomson,Table B.1.1,,wet chemistry,H.B. Wiik,FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,46.19,2.22,13.76,-99,2.91,9.6,0.15,11.87,9.53,3.04,0.79,0.42,0.2,-99,0.03,98.96,-99,4.67,19.43,21.57,3.4,18.48,-99,-99,23.44,4.22,4.22,-99,1,222,56,-99,514,-99,-99,24,26,285,-99,11,533,-99,1,231,22,-99,156
85-38,4,Basalt,parasitic cone,LeMasurier and Thomson,Table B.1.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,46.26,2.61,13.89,-99,1.72,10.49,0.2,9.44,9.9,3.26,0.77,0.42,-99,-99,0.03,98.96,-99,4.55,20.73,20.99,3.71,20.65,-99,-99,19.9,2.49,4.96,-99,0.97,168,61,54,337,68,19,20,28,195,5,14,622,-99,-99,252,23,83,153
85-35C,5,Benmoreite,"main shield at 1900m, Mount Murphy",LeMasurier and Thomson,Table B.1.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,55,1.41,18.02,-99,3.64,4.82,0.24,1.54,5.5,5.9,2.37,0.52,-99,0.29,0.03,99.6,-99,14.01,49.92,15.69,-99,6.79,-99,0.48,2.91,5.28,2.68,-99,1.2,1087,123,10,4,12,24,68,80,5,7,37,648,5,-99,54,40,86,285
85-40A,6,Benmoreite,"main shield summit, Mount Murphy",LeMasurier and Thomson,Table B.1.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,55.52,1.38,18.29,-99,5.31,3.12,0.21,1.42,5.48,5.97,2.38,0.67,-99,-99,0.06,100.07,1.17,14.06,50.52,16.09,-99,5.24,-99,1.11,-99,6.74,2.62,0.66,1.55,1173,115,5,-99,18,23,61,74,4,7,41,661,11,-99,56,38,72,310
85-40B,7,Trachyte,"main shield summit, Mount Murphy",LeMasurier and Thomson,Table B.1.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,60.17,0.45,17.35,-99,5.67,1.28,0.19,0.17,1.79,7.38,4,0.08,-99,1.08,0.03,99.61,-99,23.64,61.04,2.4,0.76,0.91,2.2,-99,-99,3.44,0.85,3.3,0.19,1276,165,-99,-99,6,30,96,127,4,7,70,140,14,3,14,59,118,617
