#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Beaufort Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,,,Element,Ba,Cr,Cu,Ga,Nb,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
P23006,1,Tephrite,cliff at northern end of penguin rookery,LeMasurier and Thomson,Table A.14.1,H.J. Harrington ,,"Chemistry division, Department of Scientific and Industrial Research, New Zealand",Total Fe expressed as Fe2O3,Tephra Weight %,45,3.3,16.6,5.65,5.85,0.11,4.9,9.25,5,2.3,0.4,1.06,0.84,100.26,,,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
AW82284,2,Phonotephrite,cliff behind penguin rookery,LeMasurier and Thomson,Table A.14.1,A.C. Wright,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,45.79,3.12,16.89,11.53,-99,0.21,4.03,8.14,5.65,2.91,0.91,0.34,-99,99.53,,,Tephra ppm,905,55,46,23,144,26,5,89,1209,5,133,40,116,478
HC-BI-5,3,Phonotephrite,"flow-banded dike, Beaufort Island",LeMasurier and Thomson,Table A.14.1,,XRF,P.R. Kyle,Total Fe expressed as Fe2O3,Tephra Weight %,46.53,2.49,17.47,10.44,-99,0.24,3.06,7.28,6.57,3.09,0.88,1.4,-99,99.45,,,Tephra ppm,-99,-99,26,27,187,10,5,96,1376,11,-99,48,132,593
