#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Vindication Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Co,Cr,Cu,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
SSV.1.2,1,Basalt,Quadrant Peak,LeMasurier and Thomson,Table E.5.1,,XRF,"U. Nottingham, England",total Fe expressed as Fe2O3,Tephra Weight %,50.24,0.49,19,9.16,0.17,6.89,12.49,1.39,0.09,0.03,99.95,Tephra ppm,46,<5,32,86,91,<2,<1,20,2,4,99,<1,<1,190,11,58,32
SSV.12.1,2,Basalt,SW of Braces Point,LeMasurier and Thomson,Table E.5.1,,XRF,"U. Nottingham, England",total Fe expressed as Fe2O3,Tephra Weight %,51.55,0.5,17.64,9.55,0.18,6.83,12.27,1.73,0.1,0.01,100.36,Tephra ppm,46,<5,33,81,112,<2,<1,20,5,<1,99,4,<1,226,12,66,32
SSV.8.1,3,Basaltic andesite,N of Leafvein Gulch,LeMasurier and Thomson,Table E.5.1,,XRF,"U. Nottingham, England",total Fe expressed as Fe2O3,Tephra Weight %,54.87,0.95,16.7,11.16,0.23,3.68,9.77,2.83,0.18,0.05,100.42,Tephra ppm,90,<5,23,42,37,<2,<1,11,3,4,115,<1,<1,322,23,83,55
